Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-4.8,1.224745,277,100,108,8.015046e-02,9.259259e-01,0.001191,0.000011028,2.902
1.0,-3.8,1.091555,230,100,116,6.196121e-02,8.620690e-01,0.001265,0.000010905,2.934
2.0,-2.8,0.972849,174,100,142,3.829226e-02,7.042254e-01,0.001545,0.000010880,2.941
3.0,-1.8,0.867053,145,100,172,2.634448e-02,5.813953e-01,0.001873,0.000010890,2.939
4.0,-0.8,0.772762,127,100,312,1.272035e-02,3.205128e-01,0.003395,0.000010881,2.941
5.0,0.2,0.688725,105,100,566,5.797261e-03,1.766784e-01,0.006158,0.000010880,2.941
6.0,1.2,0.613827,102,100,1304,2.444402e-03,7.668712e-02,0.014171,0.000010867,2.945
7.0,2.2,0.547073,102,100,4560,6.990132e-04,2.192982e-02,0.049588,0.000010875,2.943
8.0,3.2,0.487580,100,100,17027,1.835320e-04,5.873025e-03,0.185133,0.000010873,2.943
9.0,4.2,0.434556,100,100,84566,3.695338e-05,1.182508e-03,0.920753,0.000010888,2.939
10.0,5.2,0.387298,100,100,800038,3.906065e-06,1.249941e-04,8.698931,0.000010873,2.943
11.0,6.2,0.345180,100,100,12388700,2.522460e-07,8.071872e-06,134.689150,0.000010872,2.943
