Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,0.0,0.707107,263,100,111,7.404279e-02,9.009009e-01,0.000580,0.000005225,6.124
1.0,1.0,0.630210,215,100,120,5.598958e-02,8.333333e-01,0.000616,0.000005133,6.234
2.0,2.0,0.561675,186,100,139,4.181655e-02,7.194245e-01,0.000715,0.000005144,6.221
3.0,3.0,0.500593,138,100,194,2.222938e-02,5.154639e-01,0.000987,0.000005088,6.290
4.0,4.0,0.446154,125,100,330,1.183712e-02,3.030303e-01,0.001673,0.000005070,6.312
5.0,5.0,0.397635,107,100,493,6.782454e-03,2.028398e-01,0.002498,0.000005067,6.315
6.0,6.0,0.354393,103,100,1487,2.164593e-03,6.724950e-02,0.007523,0.000005059,6.325
7.0,7.0,0.315853,101,100,4695,6.722577e-04,2.129925e-02,0.023725,0.000005053,6.333
8.0,8.0,0.281504,100,100,15873,1.968752e-04,6.300007e-03,0.080252,0.000005056,6.329
9.0,9.0,0.250891,100,100,98428,3.174910e-05,1.015971e-03,0.497812,0.000005058,6.327
10.0,10.0,0.223607,100,100,709646,4.403604e-06,1.409153e-04,3.589393,0.000005058,6.327
11.0,11.0,0.199290,100,100,13187828,2.369609e-07,7.582750e-06,66.703004,0.000005058,6.327s
