Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-3.0,1.000000,294,100,108,8.506945e-02,9.259259e-01,0.000875,0.000008102,3.950
1.0,-2.0,0.891251,227,100,113,6.277655e-02,8.849558e-01,0.000933,0.000008257,3.876
2.0,-1.0,0.794328,172,100,139,3.866906e-02,7.194245e-01,0.001113,0.000008007,3.996
3.0,-0.0,0.707946,131,100,206,1.987257e-02,4.854369e-01,0.001650,0.000008010,3.995
4.0,1.0,0.630957,115,100,293,1.226536e-02,3.412969e-01,0.002339,0.000007983,4.009
5.0,2.0,0.562341,109,100,602,5.658222e-03,1.661130e-01,0.004797,0.000007968,4.016
6.0,3.0,0.501187,104,100,1457,2.230611e-03,6.863418e-02,0.011610,0.000007968,4.016
7.0,4.0,0.446684,100,100,4409,7.087775e-04,2.268088e-02,0.035108,0.000007963,4.019
8.0,5.0,0.398107,100,100,15211,2.054434e-04,6.574190e-03,0.121173,0.000007966,4.017
9.0,6.0,0.354813,100,100,89026,3.510210e-05,1.123267e-03,0.709218,0.000007966,4.017
10.0,7.0,0.316228,100,100,824927,3.788214e-06,1.212228e-04,6.562931,0.000007956,4.022
11.0,8.0,0.281838,100,100,11618638,2.689644e-07,8.606861e-06,92.388365,0.000007952,4.024
