Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,521,100,100,1.628125e-01,1.000000e+00,0.001471,0.000014710,2.175
1.0,-5.0,1.260419,418,100,100,1.306250e-01,1.000000e+00,0.001462,0.000014620,2.189
2.0,-4.0,1.123350,336,100,102,1.029412e-01,9.803922e-01,0.001523,0.000014931,2.143
3.0,-3.0,1.001187,270,100,111,7.601351e-02,9.009009e-01,0.001612,0.000014523,2.203
4.0,-2.0,0.892308,198,100,119,5.199580e-02,8.403361e-01,0.001723,0.000014479,2.210
5.0,-1.0,0.795271,158,100,150,3.291667e-02,6.666667e-01,0.002167,0.000014447,2.215
6.0,-0.0,0.708786,136,100,211,2.014218e-02,4.739336e-01,0.003026,0.000014341,2.231
7.0,1.0,0.631706,117,100,313,1.168131e-02,3.194888e-01,0.004479,0.000014310,2.236
8.0,2.0,0.563009,106,100,757,4.375826e-03,1.321004e-01,0.010758,0.000014211,2.252
9.0,3.0,0.501782,102,100,2161,1.475012e-03,4.627487e-02,0.030774,0.000014241,2.247
10.0,4.0,0.447214,102,100,5347,5.961287e-04,1.870208e-02,0.076026,0.000014218,2.251
11.0,5.0,0.398580,100,100,27339,1.143056e-04,3.657778e-03,0.385615,0.000014105,2.269
12.0,6.0,0.355234,100,100,168428,1.855392e-05,5.937255e-04,2.374919,0.000014100,2.269
13.0,7.0,0.316603,100,100,1348516,2.317362e-06,7.415559e-05,19.023558,0.000014107,2.268
14.0,8.0,0.282173,100,100,28857106,1.082922e-07,3.465351e-06,406.857457,0.000014099,2.270
