
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Encodeur        |      0.868 |      0.832 |      0.992 |     9435.831 |       0.1%
Modulateur      |      2.451 |      2.304 |     12.096 |     3342.814 |       0.3%
Canal           |    723.125 |    717.751 |    730.488 |       11.329 |      97.0%
Demodulateur    |      9.204 |      9.152 |      9.344 |      890.031 |       1.2%
Decodeur        |      8.765 |      8.672 |      8.864 |        3.651 |       1.2%
Moniteur        |      0.240 |      0.128 |      0.352 |      133.506 |       0.0%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.130 |      1.088 |      1.184 |       28.315 |       0.2%
Encodeur        |      0.862 |      0.800 |      0.928 |     9501.843 |       0.1%
Modulateur      |      2.360 |      2.304 |      2.401 |     3471.871 |       0.3%
Canal           |    723.337 |    717.560 |    737.368 |       11.325 |      97.0%
Demodulateur    |      9.203 |      9.153 |      9.249 |      890.175 |       1.2%
Decodeur        |      8.834 |      8.672 |     15.457 |        3.622 |       1.2%
Moniteur        |      0.182 |      0.128 |      0.288 |      176.265 |       0.0%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.127 |      1.088 |      1.312 |       28.402 |       0.2%
Encodeur        |      0.863 |      0.800 |      0.960 |     9491.440 |       0.1%
Modulateur      |      2.357 |      2.304 |      2.400 |     3474.894 |       0.3%
Canal           |    723.203 |    718.295 |    731.831 |       11.327 |      97.0%
Demodulateur    |      9.202 |      9.152 |      9.281 |      890.219 |       1.2%
Decodeur        |      8.768 |      8.672 |      8.865 |        3.650 |       1.2%
Moniteur        |      0.143 |      0.096 |      0.224 |      224.194 |       0.0%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.127 |      1.088 |      1.792 |       28.390 |       0.2%
Encodeur        |      0.875 |      0.800 |      1.536 |     9367.537 |       0.1%
Modulateur      |      2.372 |      2.304 |      7.936 |     3452.960 |       0.3%
Canal           |    724.249 |    716.983 |    841.244 |       11.311 |      97.0%
Demodulateur    |      9.242 |      9.120 |     20.704 |      886.401 |       1.2%
Decodeur        |      8.788 |      8.672 |     15.169 |        3.642 |       1.2%
Moniteur        |      0.135 |      0.096 |      0.192 |      237.608 |       0.0%
