
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Encodeur        |      0.870 |      0.832 |      0.960 |     9418.474 |       0.1%
Modulateur      |      2.362 |      2.304 |      2.401 |     3468.306 |       0.3%
Canal           |    713.291 |    707.466 |    725.418 |       11.485 |      98.0%
Demodulateur    |      9.208 |      9.152 |      9.312 |      889.654 |       1.3%
Decodeur        |      0.818 |      0.768 |      0.960 |       39.123 |       0.1%
Moniteur        |      0.244 |      0.160 |      0.352 |      131.401 |       0.0%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.240 |      1.152 |      2.432 |       25.804 |       0.2%
Encodeur        |      0.875 |      0.800 |      1.056 |     9361.121 |       0.1%
Modulateur      |      2.358 |      2.304 |      2.400 |     3474.247 |       0.3%
Canal           |    713.050 |    707.914 |    720.362 |       11.489 |      98.0%
Demodulateur    |      9.268 |      9.152 |     14.656 |      883.857 |       1.3%
Decodeur        |      0.820 |      0.768 |      1.440 |       39.026 |       0.1%
Moniteur        |      0.200 |      0.128 |      0.320 |      159.810 |       0.0%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.236 |      1.152 |      2.304 |       25.895 |       0.2%
Encodeur        |      0.870 |      0.800 |      0.929 |     9417.084 |       0.1%
Modulateur      |      2.362 |      2.304 |      2.400 |     3467.562 |       0.3%
Canal           |    713.184 |    709.002 |    722.187 |       11.487 |      98.0%
Demodulateur    |      9.206 |      9.152 |      9.249 |      889.836 |       1.3%
Decodeur        |      0.821 |      0.768 |      1.024 |       38.960 |       0.1%
Moniteur        |      0.147 |      0.096 |      0.224 |      218.169 |       0.0%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.237 |      1.152 |      2.368 |       25.871 |       0.2%
Encodeur        |      0.873 |      0.832 |      0.960 |     9385.595 |       0.1%
Modulateur      |      2.399 |      2.304 |      8.544 |     3414.181 |       0.3%
Canal           |    713.089 |    708.170 |    723.403 |       11.488 |      98.0%
Demodulateur    |      9.214 |      9.152 |      9.696 |      889.071 |       1.3%
Decodeur        |      0.822 |      0.768 |      1.440 |       38.932 |       0.1%
Moniteur        |      0.137 |      0.096 |      0.192 |      234.234 |       0.0%

SNR = 13.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.240 |      1.184 |      2.336 |       25.815 |       0.2%
Encodeur        |      0.870 |      0.800 |      0.992 |     9416.176 |       0.1%
Modulateur      |      2.395 |      2.304 |      7.136 |     3421.068 |       0.3%
Canal           |    714.055 |    708.170 |    756.235 |       11.473 |      98.0%
Demodulateur    |      9.211 |      9.121 |      9.664 |      889.405 |       1.3%
Decodeur        |      0.827 |      0.768 |      1.408 |       38.692 |       0.1%
Moniteur        |      0.144 |      0.096 |      0.576 |      221.649 |       0.0%

SNR = 14.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.225 |      1.152 |      1.280 |       26.118 |       0.2%
Encodeur        |      0.882 |      0.832 |      0.992 |     9287.007 |       0.1%
Modulateur      |      2.359 |      2.304 |      2.401 |     3472.372 |       0.3%
Canal           |    713.608 |    708.234 |    732.714 |       11.480 |      98.0%
Demodulateur    |      9.210 |      9.152 |      9.249 |      889.482 |       1.3%
Decodeur        |      0.816 |      0.768 |      0.960 |       39.201 |       0.1%
Moniteur        |      0.155 |      0.096 |      0.224 |      206.107 |       0.0%
