Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,0.0,0.707107,264,100,114,7.236842e-02,8.771930e-01,0.000584,0.000005123,6.247
1.0,1.0,0.630210,216,100,114,5.921053e-02,8.771930e-01,0.000584,0.000005123,6.247
2.0,2.0,0.561675,170,100,151,3.518212e-02,6.622517e-01,0.000752,0.000004980,6.426
3.0,3.0,0.500593,136,100,173,2.456647e-02,5.780347e-01,0.000864,0.000004994,6.407
4.0,4.0,0.446154,116,100,306,1.184641e-02,3.267974e-01,0.001545,0.000005049,6.338
5.0,5.0,0.397635,110,100,534,6.437266e-03,1.872659e-01,0.002686,0.000005030,6.362
6.0,6.0,0.354393,104,100,1271,2.557042e-03,7.867821e-02,0.006313,0.000004967,6.443
7.0,7.0,0.315853,101,100,3631,8.692509e-04,2.754062e-02,0.018019,0.000004963,6.448
8.0,8.0,0.281504,101,100,15113,2.088434e-04,6.616820e-03,0.074878,0.000004955,6.459
9.0,9.0,0.250891,100,100,94905,3.292767e-05,1.053685e-03,0.470493,0.000004958,6.455
10.0,10.0,0.223607,100,100,673260,4.641595e-06,1.485310e-04,3.338302,0.000004958,6.454
11.0,11.0,0.199290,100,100,9341086,3.345435e-07,1.070539e-05,46.267582,0.000004953,6.461
12.0,12.0,0.177617,100,100,306620960,1.019174e-08,3.261356e-07,1519.887431,0.000004957,6.456
