Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,274,100,105,8.154762e-02,9.523810e-01,0.001455,0.000013857,2.309
1.0,-5.0,1.260419,216,100,119,5.672269e-02,8.403361e-01,0.001653,0.000013891,2.304
2.0,-4.0,1.123350,178,100,133,4.182331e-02,7.518797e-01,0.001824,0.000013714,2.333
3.0,-3.0,1.001187,143,100,200,2.234375e-02,5.000000e-01,0.002751,0.000013755,2.326
4.0,-2.0,0.892308,119,100,280,1.328125e-02,3.571429e-01,0.003843,0.000013725,2.332
5.0,-1.0,0.795271,118,100,609,6.055008e-03,1.642036e-01,0.008323,0.000013667,2.341
6.0,-0.0,0.708786,102,100,1414,2.254243e-03,7.072136e-02,0.019367,0.000013697,2.336
7.0,1.0,0.631706,100,100,3819,8.182770e-04,2.618486e-02,0.052442,0.000013732,2.330
8.0,2.0,0.563009,100,100,12886,2.425112e-04,7.760360e-03,0.176448,0.000013693,2.337
9.0,3.0,0.501782,100,100,94047,3.322807e-05,1.063298e-03,1.285403,0.000013668,2.341
10.0,4.0,0.447214,100,100,861223,3.628561e-06,1.161139e-04,11.769610,0.000013666,2.342
11.0,5.0,0.398580,100,100,13832383,2.259191e-07,7.229412e-06,189.082558,0.000013670,2.341
12.0,6.0,0.355234,100,100,299805888,1.042341e-08,3.335492e-07,4092.744632,0.000013651,2.344
