Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-3.0,1.000000,283,100,105,8.422619e-02,9.523810e-01,0.000840,0.000008000,4.000
1.0,-2.0,0.891251,224,100,113,6.194690e-02,8.849558e-01,0.000896,0.000007929,4.036
2.0,-1.0,0.794328,191,100,120,4.973958e-02,8.333333e-01,0.000950,0.000007917,4.042
3.0,-0.0,0.707946,153,100,146,3.274829e-02,6.849315e-01,0.001152,0.000007890,4.056
4.0,1.0,0.630957,124,100,219,1.769406e-02,4.566210e-01,0.001728,0.000007890,4.056
5.0,2.0,0.562341,121,100,265,1.426887e-02,3.773585e-01,0.002084,0.000007864,4.069
6.0,3.0,0.501187,108,100,399,8.458647e-03,2.506266e-01,0.003144,0.000007880,4.061
7.0,4.0,0.446684,103,100,739,4.355548e-03,1.353180e-01,0.005816,0.000007870,4.066
8.0,5.0,0.398107,101,100,1603,1.968964e-03,6.238303e-02,0.012637,0.000007883,4.059
9.0,6.0,0.354813,101,100,3588,8.796683e-04,2.787068e-02,0.028222,0.000007866,4.068
10.0,7.0,0.316228,100,100,11727,2.664791e-04,8.527330e-03,0.092252,0.000007867,4.068
11.0,8.0,0.281838,100,100,45559,6.859237e-05,2.194956e-03,0.358390,0.000007867,4.068
12.0,9.0,0.251189,100,100,249777,1.251116e-05,4.003571e-04,1.962506,0.000007857,4.073
