Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-3.0,1.000000,263,100,108,7.609954e-02,9.259259e-01,0.000858,0.000007944,4.028
1.0,-2.0,0.891251,227,100,116,6.115302e-02,8.620690e-01,0.000929,0.000008009,3.996
2.0,-1.0,0.794328,177,100,149,3.712248e-02,6.711410e-01,0.001176,0.000007893,4.054
3.0,-0.0,0.707946,156,100,182,2.678571e-02,5.494506e-01,0.001431,0.000007863,4.070
4.0,1.0,0.630957,122,100,345,1.105072e-02,2.898551e-01,0.002709,0.000007852,4.075
5.0,2.0,0.562341,110,100,574,5.988676e-03,1.742160e-01,0.004499,0.000007838,4.083
6.0,3.0,0.501187,102,100,1279,2.492181e-03,7.818608e-02,0.010026,0.000007839,4.082
7.0,4.0,0.446684,100,100,3819,8.182770e-04,2.618486e-02,0.029917,0.000007834,4.085
8.0,5.0,0.398107,100,100,19083,1.637583e-04,5.240266e-03,0.149456,0.000007832,4.086
9.0,6.0,0.354813,100,100,95065,3.287225e-05,1.051912e-03,0.744727,0.000007834,4.085
10.0,7.0,0.316228,100,100,797328,3.919341e-06,1.254189e-04,6.246579,0.000007834,4.085
11.0,8.0,0.281838,100,100,10963838,2.850279e-07,9.120894e-06,85.938826,0.000007838,4.082
12.0,9.0,0.251189,100,100,274511581,1.138385e-08,3.642834e-07,2155.393946,0.000007852,4.076
