Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-4.8,1.224745,291,100,108,8.420139e-02,9.259259e-01,0.001173,0.000010861,2.946
1.0,-3.8,1.091555,227,100,109,6.508028e-02,9.174312e-01,0.001178,0.000010807,2.961
2.0,-2.8,0.972849,166,100,145,3.577586e-02,6.896552e-01,0.001566,0.000010800,2.963
3.0,-1.8,0.867053,135,100,174,2.424569e-02,5.747126e-01,0.001871,0.000010753,2.976
4.0,-0.8,0.772762,117,100,289,1.265138e-02,3.460208e-01,0.003115,0.000010779,2.969
5.0,0.2,0.688725,111,100,569,6.096222e-03,1.757469e-01,0.006117,0.000010750,2.977
6.0,1.2,0.613827,105,100,1291,2.541634e-03,7.745934e-02,0.013849,0.000010727,2.983
7.0,2.2,0.547073,101,100,3999,7.892598e-04,2.500625e-02,0.042930,0.000010735,2.981
8.0,3.2,0.487580,100,100,16192,1.929965e-04,6.175889e-03,0.173747,0.000010730,2.982
9.0,4.2,0.434556,100,100,98878,3.160460e-05,1.011347e-03,1.060693,0.000010727,2.983
10.0,5.2,0.387298,100,100,696289,4.488079e-06,1.436185e-04,7.474233,0.000010734,2.981
11.0,6.2,0.345180,100,100,11592750,2.695650e-07,8.626081e-06,124.626888,0.000010750,2.977
