
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Encodeur        |      0.869 |      0.800 |      1.600 |     9425.143 |       0.1%
Modulateur      |      2.433 |      2.304 |      5.888 |     3367.007 |       0.3%
Canal           |    713.309 |    705.515 |    851.950 |       11.485 |      97.1%
Demodulateur    |      9.215 |      9.152 |     14.336 |      889.013 |       1.3%
Decodeur        |      7.655 |      7.360 |     15.520 |        4.180 |       1.0%
Moniteur        |      0.103 |      0.064 |      0.160 |      310.748 |       0.0%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.209 |      1.120 |      6.912 |       26.463 |       0.2%
Encodeur        |      0.889 |      0.800 |      6.720 |     9211.593 |       0.1%
Modulateur      |      2.430 |      2.304 |      7.840 |     3371.443 |       0.3%
Canal           |    713.370 |    705.195 |    958.992 |       11.484 |      97.1%
Demodulateur    |      9.219 |      9.152 |     25.760 |      888.637 |       1.3%
Decodeur        |      7.643 |      7.360 |     19.168 |        4.187 |       1.0%
Moniteur        |      0.103 |      0.064 |      5.664 |      309.634 |       0.0%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.211 |      1.120 |     86.785 |       26.431 |       0.2%
Encodeur        |      0.870 |      0.800 |     29.793 |     9418.488 |       0.1%
Modulateur      |      2.426 |      2.304 |     54.017 |     3376.862 |       0.3%
Canal           |    713.576 |    704.109 |   1649.470 |       11.480 |      97.1%
Demodulateur    |      9.222 |      9.120 |     76.993 |      888.274 |       1.3%
Decodeur        |      7.651 |      7.296 |    104.642 |        4.183 |       1.0%
Moniteur        |      0.104 |      0.064 |      4.384 |      309.161 |       0.0%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.239 |      1.120 |  24049.832 |       25.818 |       0.2%
Encodeur        |      0.870 |      0.800 |    502.668 |     9419.351 |       0.1%
Modulateur      |      2.428 |      2.304 |     81.186 |     3373.829 |       0.3%
Canal           |    713.720 |    701.870 |  16808.215 |       11.478 |      97.1%
Demodulateur    |      9.221 |      9.120 |   2768.611 |      888.383 |       1.3%
Decodeur        |      7.647 |      7.264 |    204.389 |        4.185 |       1.0%
Moniteur        |      0.103 |      0.064 |     10.880 |      309.785 |       0.0%
