Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,503,100,100,1.571875e-01,1.000000e+00,0.000573,0.000005730,5.585
1.0,-5.0,1.260419,418,100,101,1.293317e-01,9.900990e-01,0.000558,0.000005525,5.792
2.0,-4.0,1.123350,327,100,104,9.825721e-02,9.615384e-01,0.000571,0.000005490,5.828
3.0,-3.0,1.001187,266,100,114,7.291666e-02,8.771930e-01,0.000626,0.000005491,5.827
4.0,-2.0,0.892308,228,100,115,6.195652e-02,8.695652e-01,0.000634,0.000005513,5.804
5.0,-1.0,0.795271,150,100,169,2.773669e-02,5.917160e-01,0.000930,0.000005503,5.815
6.0,-0.0,0.708786,132,100,178,2.317416e-02,5.617977e-01,0.000968,0.000005438,5.884
7.0,1.0,0.631706,117,100,324,1.128472e-02,3.086420e-01,0.001671,0.000005157,6.205
8.0,2.0,0.563009,106,100,676,4.900148e-03,1.479290e-01,0.003474,0.000005139,6.227
9.0,3.0,0.501782,104,100,1821,1.784734e-03,5.491488e-02,0.008689,0.000004772,6.706
10.0,4.0,0.447214,102,100,4739,6.726102e-04,2.110150e-02,0.021549,0.000004547,7.037
11.0,5.0,0.398580,101,100,28663,1.101158e-04,3.488818e-03,0.130383,0.000004549,7.035
12.0,6.0,0.355234,100,100,136427,2.290602e-05,7.329927e-04,0.620401,0.000004547,7.037
13.0,7.0,0.316603,100,100,1401735,2.229380e-06,7.134016e-05,6.374031,0.000004547,7.037
14.0,8.0,0.282173,100,100,26380326,1.184595e-07,3.790704e-06,119.976337,0.000004548,7.036
