Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-3.0,1.000000,290,100,112,8.091518e-02,8.928571e-01,0.000472,0.000004214,7.593
1.0,-2.0,0.891251,210,100,125,5.250000e-02,8.000000e-01,0.000497,0.000003976,8.048
2.0,-1.0,0.794328,170,100,132,4.024621e-02,7.575758e-01,0.000523,0.000003962,8.076
3.0,-0.0,0.707946,141,100,176,2.503551e-02,5.681818e-01,0.000700,0.000003977,8.046
4.0,1.0,0.630957,125,100,284,1.375440e-02,3.521127e-01,0.001129,0.000003975,8.050
5.0,2.0,0.562341,106,100,557,5.947038e-03,1.795332e-01,0.002205,0.000003959,8.083
6.0,3.0,0.501187,102,100,1312,2.429497e-03,7.621951e-02,0.004918,0.000003748,8.537
7.0,4.0,0.446684,100,100,4040,7.735149e-04,2.475248e-02,0.013499,0.000003341,9.577
8.0,5.0,0.398107,101,100,16655,1.895077e-04,6.004203e-03,0.054501,0.000003272,9.779
9.0,6.0,0.354813,100,100,96935,3.223810e-05,1.031619e-03,0.317080,0.000003271,9.783
10.0,7.0,0.316228,100,100,841396,3.714066e-06,1.188501e-04,2.752469,0.000003271,9.782
11.0,8.0,0.281838,100,100,13556818,2.305113e-07,7.376362e-06,44.329597,0.000003270,9.786
12.0,9.0,0.251189,100,100,313902567,9.955318e-09,3.185702e-07,1026.419900,0.000003270,9.786
