
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.679 |      1.312 |     29.249 |       19.062 |      32.8%
Encodeur        |      0.109 |      0.064 |      2.560 |     1176.254 |       2.1%
Modulateur      |      0.129 |      0.096 |      0.192 |      992.556 |       2.5%
Canal           |      2.931 |      2.304 |      7.841 |       43.666 |      57.2%
Demodulateur    |      0.093 |      0.064 |      0.256 |     1374.570 |       1.8%
Decodeur        |      0.082 |      0.032 |      0.192 |      392.109 |       1.6%
Moniteur        |      0.099 |      0.032 |      2.560 |      324.675 |       1.9%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.355 |      1.312 |      1.440 |       23.619 |      28.8%
Encodeur        |      0.081 |      0.064 |      0.128 |     1571.793 |       1.7%
Modulateur      |      0.131 |      0.096 |      0.160 |      973.494 |       2.8%
Canal           |      2.895 |      2.304 |      5.057 |       44.219 |      61.5%
Demodulateur    |      0.087 |      0.064 |      0.128 |     1463.768 |       1.9%
Decodeur        |      0.080 |      0.064 |      0.160 |      400.794 |       1.7%
Moniteur        |      0.075 |      0.032 |      0.096 |      427.966 |       1.6%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.348 |      1.280 |      1.409 |       23.732 |      28.8%
Encodeur        |      0.081 |      0.032 |      0.128 |     1581.749 |       1.7%
Modulateur      |      0.132 |      0.096 |      0.160 |      969.697 |       2.8%
Canal           |      2.885 |      2.304 |      4.960 |       44.372 |      61.6%
Demodulateur    |      0.084 |      0.064 |      0.128 |     1529.236 |       1.8%
Decodeur        |      0.078 |      0.032 |      0.096 |      412.698 |       1.7%
Moniteur        |      0.075 |      0.032 |      0.128 |      424.382 |       1.6%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.350 |      1.280 |      1.408 |       23.695 |      28.9%
Encodeur        |      0.079 |      0.032 |      0.128 |     1617.021 |       1.7%
Modulateur      |      0.129 |      0.096 |      0.160 |      989.087 |       2.8%
Canal           |      2.881 |      2.304 |      4.960 |       44.426 |      61.6%
Demodulateur    |      0.085 |      0.064 |      0.128 |     1509.778 |       1.8%
Decodeur        |      0.081 |      0.064 |      0.096 |      395.833 |       1.7%
Moniteur        |      0.073 |      0.032 |      0.128 |      436.782 |       1.6%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.351 |      1.280 |      1.409 |       23.681 |      28.7%
Encodeur        |      0.081 |      0.032 |      0.128 |     1586.207 |       1.7%
Modulateur      |      0.129 |      0.096 |      0.160 |      989.247 |       2.7%
Canal           |      2.905 |      2.304 |      4.993 |       44.056 |      61.7%
Demodulateur    |      0.085 |      0.064 |      0.128 |     1498.371 |       1.8%
Decodeur        |      0.079 |      0.064 |      0.128 |      403.465 |       1.7%
Moniteur        |      0.074 |      0.032 |      0.128 |      432.331 |       1.6%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.356 |      1.280 |      1.409 |       23.603 |      28.8%
Encodeur        |      0.081 |      0.064 |      0.128 |     1583.022 |       1.7%
Modulateur      |      0.130 |      0.096 |      0.160 |      988.304 |       2.8%
Canal           |      2.891 |      2.304 |      4.993 |       44.271 |      61.5%
Demodulateur    |      0.088 |      0.064 |      0.128 |     1456.897 |       1.9%
Decodeur        |      0.079 |      0.032 |      0.128 |      407.229 |       1.7%
Moniteur        |      0.080 |      0.032 |      0.128 |      399.527 |       1.7%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.417 |      1.216 |     17.857 |       22.588 |      20.3%
Encodeur        |      0.080 |      0.032 |      0.128 |     1600.000 |       1.1%
Modulateur      |      0.128 |      0.096 |      0.192 |      999.912 |       1.8%
Canal           |      5.112 |      2.144 |    409.709 |       25.041 |      73.2%
Demodulateur    |      0.086 |      0.064 |      0.128 |     1492.662 |       1.2%
Decodeur        |      0.079 |      0.032 |      0.128 |      402.715 |       1.1%
Moniteur        |      0.079 |      0.032 |      0.128 |      402.715 |       1.1%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.266 |      1.216 |      1.344 |       25.276 |      28.4%
Encodeur        |      0.075 |      0.032 |      0.129 |     1702.882 |       1.7%
Modulateur      |      0.122 |      0.096 |      0.160 |     1045.135 |       2.7%
Canal           |      2.763 |      2.144 |     21.761 |       46.325 |      62.0%
Demodulateur    |      0.083 |      0.064 |      0.129 |     1546.482 |       1.9%
Decodeur        |      0.074 |      0.032 |      0.096 |      433.155 |       1.7%
Moniteur        |      0.073 |      0.032 |      0.097 |      437.819 |       1.6%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.265 |      1.216 |      1.313 |       25.304 |      28.7%
Encodeur        |      0.076 |      0.032 |      0.128 |     1687.857 |       1.7%
Modulateur      |      0.122 |      0.096 |      0.160 |     1052.908 |       2.8%
Canal           |      2.720 |      2.144 |     12.769 |       47.057 |      61.7%
Demodulateur    |      0.081 |      0.032 |      0.128 |     1582.183 |       1.8%
Decodeur        |      0.074 |      0.032 |      0.096 |      431.389 |       1.7%
Moniteur        |      0.071 |      0.032 |      0.128 |      450.048 |       1.6%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.249 |      1.056 |    126.693 |       25.617 |      29.1%
Encodeur        |      0.071 |      0.032 |      0.097 |     1802.022 |       1.7%
Modulateur      |      0.112 |      0.064 |      0.160 |     1141.301 |       2.6%
Canal           |      2.653 |      1.888 |    264.425 |       48.240 |      61.8%
Demodulateur    |      0.076 |      0.032 |      0.192 |     1684.138 |       1.8%
Decodeur        |      0.069 |      0.032 |      0.160 |      462.994 |       1.6%
Moniteur        |      0.064 |      0.032 |      0.097 |      497.792 |       1.5%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.124 |      1.056 |      5.536 |       28.472 |      28.8%
Encodeur        |      0.066 |      0.032 |      0.097 |     1931.280 |       1.7%
Modulateur      |      0.116 |      0.064 |     35.425 |     1104.495 |       3.0%
Canal           |      2.400 |      1.888 |     16.576 |       53.344 |      61.5%
Demodulateur    |      0.071 |      0.032 |      0.097 |     1797.390 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.096 |      490.267 |       1.7%
Moniteur        |      0.061 |      0.032 |      0.097 |      523.222 |       1.6%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.056 |     10.657 |       28.439 |      28.9%
Encodeur        |      0.067 |      0.032 |      0.097 |     1909.636 |       1.7%
Modulateur      |      0.107 |      0.064 |      0.161 |     1191.190 |       2.8%
Canal           |      2.400 |      1.888 |      8.865 |       53.337 |      61.6%
Demodulateur    |      0.072 |      0.032 |      0.128 |     1782.846 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.128 |      489.838 |       1.7%
Moniteur        |      0.061 |      0.032 |      0.288 |      524.726 |       1.6%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.124 |      1.056 |     27.169 |       28.457 |      28.9%
Encodeur        |      0.067 |      0.032 |      3.713 |     1912.953 |       1.7%
Modulateur      |      0.108 |      0.064 |      6.849 |     1189.713 |       2.8%
Canal           |      2.400 |      1.856 |     59.522 |       53.331 |      61.6%
Demodulateur    |      0.072 |      0.032 |      4.576 |     1779.663 |       1.8%
Decodeur        |      0.065 |      0.032 |      5.248 |      490.216 |       1.7%
Moniteur        |      0.061 |      0.032 |     11.424 |      525.495 |       1.6%

SNR = 13.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.124 |      1.056 |     16.385 |       28.459 |      28.9%
Encodeur        |      0.067 |      0.032 |      9.152 |     1909.676 |       1.7%
Modulateur      |      0.107 |      0.064 |     83.555 |     1191.146 |       2.8%
Canal           |      2.399 |      1.856 |     18.784 |       53.363 |      61.6%
Demodulateur    |      0.072 |      0.032 |     33.665 |     1782.422 |       1.8%
Decodeur        |      0.065 |      0.032 |      7.585 |      490.853 |       1.7%
Moniteur        |      0.061 |      0.032 |      4.609 |      525.053 |       1.6%

SNR = 14.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.024 |    122.052 |       28.453 |      28.9%
