
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.126 |      1.024 |    218.279 |       28.411 |      42.0%
Encodeur        |      0.063 |      0.032 |    170.310 |     1011.170 |       2.4%
Modulateur      |      0.072 |      0.032 |    159.429 |      893.630 |       2.7%
Canal           |      1.234 |      0.960 |    210.151 |       51.873 |      46.0%
Demodulateur    |      0.066 |      0.032 |     78.243 |      974.449 |       2.4%
Decodeur        |      0.063 |      0.032 |     65.635 |      504.786 |       2.4%
Moniteur        |      0.061 |      0.032 |     71.266 |      528.392 |       2.3%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.024 |    346.732 |       28.439 |      42.0%
Encodeur        |      0.063 |      0.032 |    114.724 |     1012.572 |       2.4%
Modulateur      |      0.072 |      0.032 |    157.893 |      894.939 |       2.7%
Canal           |      1.232 |      0.928 |    763.481 |       51.951 |      45.9%
Demodulateur    |      0.066 |      0.032 |    170.725 |      976.691 |       2.4%
Decodeur        |      0.063 |      0.032 |    179.110 |      505.170 |       2.4%
Moniteur        |      0.060 |      0.032 |    149.925 |      529.268 |       2.3%
