
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      2.393 |      1.280 |    117.796 |       13.373 |      50.9%
Encodeur        |      0.077 |      0.032 |      0.192 |      826.473 |       1.6%
Modulateur      |      0.103 |      0.064 |      1.952 |      618.785 |       2.2%
Canal           |      1.883 |      1.152 |     39.873 |       33.995 |      40.1%
Demodulateur    |      0.078 |      0.064 |      0.160 |      823.529 |       1.7%
Decodeur        |      0.080 |      0.032 |      0.320 |      400.000 |       1.7%
Moniteur        |      0.085 |      0.032 |      1.536 |      377.104 |       1.8%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.359 |      1.280 |      1.536 |       23.544 |      41.9%
Encodeur        |      0.076 |      0.032 |      0.128 |      841.751 |       2.3%
Modulateur      |      0.086 |      0.064 |      0.129 |      741.771 |       2.7%
Canal           |      1.488 |      1.152 |      3.872 |       43.005 |      45.9%
Demodulateur    |      0.080 |      0.064 |      0.096 |      803.859 |       2.5%
Decodeur        |      0.077 |      0.032 |      0.096 |      413.864 |       2.4%
Moniteur        |      0.078 |      0.032 |      0.128 |      412.541 |       2.4%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.357 |      1.280 |      1.408 |       23.575 |      42.0%
Encodeur        |      0.075 |      0.032 |      0.128 |      848.875 |       2.3%
Modulateur      |      0.087 |      0.064 |      0.128 |      739.496 |       2.7%
Canal           |      1.477 |      1.152 |      3.872 |       43.334 |      45.7%
Demodulateur    |      0.082 |      0.064 |      0.128 |      783.383 |       2.5%
Decodeur        |      0.075 |      0.032 |      0.128 |      425.764 |       2.3%
Moniteur        |      0.079 |      0.032 |      0.128 |      403.670 |       2.5%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.357 |      1.280 |      1.440 |       23.579 |      36.9%
Encodeur        |      0.076 |      0.032 |      0.128 |      844.125 |       2.1%
Modulateur      |      0.088 |      0.064 |      0.160 |      724.233 |       2.4%
Canal           |      1.919 |      1.184 |     79.618 |       33.358 |      52.2%
Demodulateur    |      0.080 |      0.032 |      0.128 |      803.596 |       2.2%
Decodeur        |      0.075 |      0.032 |      0.128 |      428.224 |       2.0%
Moniteur        |      0.079 |      0.032 |      0.160 |      403.670 |       2.2%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.588 |      1.280 |     66.978 |       20.153 |      43.3%
Encodeur        |      0.075 |      0.032 |      0.096 |      847.722 |       2.1%
Modulateur      |      0.088 |      0.064 |      0.128 |      730.048 |       2.4%
Canal           |      1.494 |      1.152 |      3.904 |       42.825 |      40.7%
Demodulateur    |      0.078 |      0.032 |      0.128 |      817.229 |       2.1%
Decodeur        |      0.268 |      0.032 |     54.914 |      119.224 |       7.3%
Moniteur        |      0.078 |      0.032 |      0.128 |      409.185 |       2.1%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.355 |      1.280 |      1.472 |       23.612 |      39.7%
Encodeur        |      0.076 |      0.032 |      0.096 |      839.488 |       2.2%
Modulateur      |      0.087 |      0.064 |      0.128 |      739.202 |       2.5%
Canal           |      1.666 |      1.152 |     80.419 |       38.418 |      48.8%
Demodulateur    |      0.079 |      0.032 |      0.128 |      810.771 |       2.3%
Decodeur        |      0.076 |      0.032 |      0.128 |      420.983 |       2.2%
Moniteur        |      0.074 |      0.032 |      0.128 |      430.095 |       2.2%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.356 |      1.216 |     73.538 |       23.601 |      42.6%
Encodeur        |      0.072 |      0.032 |      0.097 |      891.276 |       2.3%
Modulateur      |      0.082 |      0.032 |      0.128 |      777.467 |       2.6%
Canal           |      1.428 |      1.088 |     19.169 |       44.828 |      44.9%
Demodulateur    |      0.075 |      0.032 |      0.128 |      851.102 |       2.4%
Decodeur        |      0.097 |      0.032 |     31.361 |      331.216 |       3.0%
Moniteur        |      0.070 |      0.032 |      0.128 |      457.621 |       2.2%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.168 |      1.056 |     69.475 |       27.408 |      41.7%
Encodeur        |      0.064 |      0.032 |      0.097 |      992.347 |       2.3%
Modulateur      |      0.075 |      0.032 |      5.984 |      856.630 |       2.7%
Canal           |      1.298 |      0.960 |     70.018 |       49.297 |      46.4%
Demodulateur    |      0.069 |      0.032 |      6.657 |      933.959 |       2.4%
Decodeur        |      0.064 |      0.032 |      0.097 |      498.810 |       2.3%
Moniteur        |      0.062 |      0.032 |      0.097 |      515.154 |       2.2%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.139 |      1.056 |     89.315 |       28.096 |      42.2%
Encodeur        |      0.064 |      0.032 |      7.585 |     1004.953 |       2.4%
Modulateur      |      0.071 |      0.032 |      0.128 |      900.651 |       2.6%
Canal           |      1.232 |      0.960 |      8.896 |       51.931 |      45.7%
Demodulateur    |      0.065 |      0.032 |      0.160 |      980.078 |       2.4%
Decodeur        |      0.065 |      0.032 |     16.192 |      494.829 |       2.4%
Moniteur        |      0.060 |      0.032 |      0.160 |      529.644 |       2.2%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.128 |      1.056 |     73.218 |       28.380 |      42.0%
Encodeur        |      0.063 |      0.032 |      7.712 |     1010.017 |       2.4%
Modulateur      |      0.073 |      0.032 |    146.532 |      874.106 |       2.7%
Canal           |      1.233 |      0.960 |     34.017 |       51.904 |      45.9%
Demodulateur    |      0.066 |      0.032 |      5.248 |      975.939 |       2.4%
Decodeur        |      0.063 |      0.032 |      8.833 |      504.607 |       2.4%
Moniteur        |      0.061 |      0.032 |      7.201 |      528.392 |       2.3%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.127 |      1.056 |    155.813 |       28.390 |      42.0%
Encodeur        |      0.063 |      0.032 |     30.721 |     1010.839 |       2.4%
Modulateur      |      0.072 |      0.032 |     68.035 |      892.917 |       2.7%
Canal           |      1.235 |      0.960 |    199.142 |       51.819 |      46.0%
Demodulateur    |      0.066 |      0.032 |     60.098 |      975.984 |       2.4%
Decodeur        |      0.063 |      0.032 |     11.264 |      505.562 |       2.4%
Moniteur        |      0.061 |      0.032 |     19.969 |      528.704 |       2.3%

SNR = 11.0 dB
