Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-4.8,1.224745,299,100,112,8.342634e-02,8.928571e-01,0.000464,0.000004143,7.724
1.0,-3.8,1.091555,227,100,111,6.390766e-02,9.009009e-01,0.000449,0.000004045,7.911
2.0,-2.8,0.972849,172,100,141,3.812057e-02,7.092199e-01,0.000567,0.000004021,7.958
3.0,-1.8,0.867053,135,100,176,2.397017e-02,5.681818e-01,0.000714,0.000004057,7.888
4.0,-0.8,0.772762,122,100,263,1.449620e-02,3.802281e-01,0.001065,0.000004049,7.902
5.0,0.2,0.688725,109,100,527,6.463472e-03,1.897533e-01,0.002124,0.000004030,7.940
6.0,1.2,0.613827,104,100,1322,2.458396e-03,7.564297e-02,0.005328,0.000004030,7.940
7.0,2.2,0.547073,101,100,3820,8.262434e-04,2.617801e-02,0.016651,0.000004359,7.341
8.0,3.2,0.487580,100,100,15341,2.037025e-04,6.518480e-03,0.061569,0.000004013,7.973
9.0,4.2,0.434556,100,100,85755,3.644102e-05,1.166113e-03,0.344195,0.000004014,7.973
10.0,5.2,0.387298,100,100,842456,3.709393e-06,1.187006e-04,3.381428,0.000004014,7.973
11.0,6.2,0.345180,100,100,11901492,2.625721e-07,8.402308e-06,47.771717,0.000004014,7.972
12.0,7.2,0.307642,100,100,332355164,9.402592e-09,3.008829e-07,1334.040463,0.000004014,7.972
