Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-3.0,1.000000,260,100,109,7.454129e-02,9.174312e-01,0.000464,0.000004257,7.517
1.0,-2.0,0.891251,210,100,123,5.335366e-02,8.130081e-01,0.000489,0.000003976,8.049
2.0,-1.0,0.794328,175,100,131,4.174618e-02,7.633588e-01,0.000522,0.000003985,8.031
3.0,-0.0,0.707946,133,100,182,2.283654e-02,5.494506e-01,0.000720,0.000003956,8.089
4.0,1.0,0.630957,132,100,259,1.592664e-02,3.861004e-01,0.001027,0.000003965,8.070
5.0,2.0,0.562341,108,100,554,6.092058e-03,1.805054e-01,0.002153,0.000003886,8.234
6.0,3.0,0.501187,104,100,1195,2.719665e-03,8.368201e-02,0.004424,0.000003702,8.644
7.0,4.0,0.446684,101,100,3797,8.312484e-04,2.633658e-02,0.012850,0.000003384,9.456
8.0,5.0,0.398107,100,100,15640,1.998082e-04,6.393862e-03,0.051209,0.000003274,9.773
9.0,6.0,0.354813,100,100,97293,3.211947e-05,1.027823e-03,0.318527,0.000003274,9.774
10.0,7.0,0.316228,100,100,853186,3.662742e-06,1.172077e-04,2.793520,0.000003274,9.773
11.0,8.0,0.281838,100,100,9838858,3.176182e-07,1.016378e-05,32.195687,0.000003272,9.779
12.0,9.0,0.251189,100,100,282209682,1.107333e-08,3.543464e-07,922.825855,0.000003270,9.786
