
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.516 |      1.376 |      7.232 |       21.113 |      43.3%
Encodeur        |      0.079 |      0.032 |      0.192 |      810.615 |       2.3%
Modulateur      |      0.114 |      0.064 |      2.688 |      561.497 |       3.3%
Canal           |      1.528 |      1.152 |      7.424 |       41.898 |      43.6%
Demodulateur    |      0.093 |      0.032 |      1.632 |      688.525 |       2.7%
Decodeur        |      0.083 |      0.032 |      0.448 |      384.615 |       2.4%
Moniteur        |      0.091 |      0.032 |      1.888 |      353.535 |       2.6%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.456 |      1.376 |      1.760 |       21.979 |      43.3%
Encodeur        |      0.078 |      0.032 |      0.128 |      824.818 |       2.3%
Modulateur      |      0.091 |      0.064 |      0.257 |      706.181 |       2.7%
Canal           |      1.494 |      1.152 |      3.872 |       42.826 |      44.5%
Demodulateur    |      0.078 |      0.032 |      0.128 |      818.748 |       2.3%
Decodeur        |      0.087 |      0.032 |      1.536 |      368.041 |       2.6%
Moniteur        |      0.077 |      0.032 |      0.192 |      416.974 |       2.3%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.453 |      1.408 |      1.504 |       22.024 |      43.5%
Encodeur        |      0.078 |      0.032 |      0.128 |      818.109 |       2.3%
Modulateur      |      0.087 |      0.064 |      0.128 |      734.694 |       2.6%
Canal           |      1.490 |      1.152 |      3.872 |       42.939 |      44.7%
Demodulateur    |      0.078 |      0.032 |      0.128 |      815.864 |       2.4%
Decodeur        |      0.074 |      0.032 |      0.096 |      429.851 |       2.2%
Moniteur        |      0.075 |      0.032 |      0.128 |      427.300 |       2.2%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.450 |      1.376 |      1.505 |       22.072 |      43.7%
Encodeur        |      0.076 |      0.032 |      0.096 |      839.237 |       2.3%
Modulateur      |      0.085 |      0.064 |      0.128 |      754.902 |       2.6%
Canal           |      1.472 |      1.152 |      3.872 |       43.489 |      44.4%
Demodulateur    |      0.081 |      0.064 |      0.096 |      787.661 |       2.4%
Decodeur        |      0.073 |      0.032 |      0.096 |      436.222 |       2.2%
Moniteur        |      0.080 |      0.032 |      0.128 |      397.933 |       2.4%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.454 |      1.376 |      1.536 |       22.007 |      41.0%
Encodeur        |      0.076 |      0.032 |      0.128 |      847.682 |       2.1%
Modulateur      |      0.087 |      0.064 |      0.128 |      732.693 |       2.5%
Canal           |      1.696 |      1.152 |     43.681 |       37.727 |      47.8%
Demodulateur    |      0.078 |      0.032 |      0.128 |      820.458 |       2.2%
Decodeur        |      0.078 |      0.032 |      0.128 |      412.017 |       2.2%
Moniteur        |      0.080 |      0.032 |      0.128 |      401.674 |       2.2%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.451 |      1.280 |      9.985 |       22.061 |      44.0%
Encodeur        |      0.076 |      0.032 |      0.097 |      841.323 |       2.3%
Modulateur      |      0.087 |      0.064 |      0.128 |      736.973 |       2.6%
Canal           |      1.457 |      1.088 |      3.840 |       43.937 |      44.2%
Demodulateur    |      0.077 |      0.032 |      0.128 |      836.546 |       2.3%
Decodeur        |      0.075 |      0.032 |      0.128 |      425.463 |       2.3%
Moniteur        |      0.074 |      0.032 |      0.128 |      432.945 |       2.2%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.363 |      1.280 |      1.536 |       23.480 |      39.0%
Encodeur        |      0.071 |      0.032 |      0.097 |      899.025 |       2.0%
Modulateur      |      0.081 |      0.032 |      0.128 |      786.052 |       2.3%
Canal           |      1.405 |      1.088 |      9.632 |       45.563 |      40.2%
Demodulateur    |      0.075 |      0.032 |      0.097 |      857.898 |       2.1%
Decodeur        |      0.074 |      0.032 |      0.096 |      430.664 |       2.1%
Moniteur        |      0.421 |      0.032 |    154.085 |       75.967 |      12.1%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.424 |      1.280 |     58.370 |       22.473 |      42.7%
Encodeur        |      0.072 |      0.032 |      0.160 |      890.621 |       2.2%
Modulateur      |      0.081 |      0.032 |      0.160 |      793.268 |       2.4%
Canal           |      1.540 |      1.088 |    137.060 |       41.547 |      46.2%
Demodulateur    |      0.074 |      0.032 |      0.097 |      865.775 |       2.2%
Decodeur        |      0.072 |      0.032 |      0.128 |      442.023 |       2.2%
Moniteur        |      0.069 |      0.032 |      0.128 |      461.036 |       2.1%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.440 |      1.216 |     67.715 |       22.215 |      43.8%
Encodeur        |      0.072 |      0.032 |      0.097 |      892.202 |       2.2%
Modulateur      |      0.080 |      0.032 |      0.160 |      800.761 |       2.4%
Canal           |      1.482 |      1.024 |    118.692 |       43.184 |      45.1%
Demodulateur    |      0.075 |      0.032 |      0.097 |      857.637 |       2.3%
Decodeur        |      0.071 |      0.032 |      0.097 |      449.407 |       2.2%
Moniteur        |      0.070 |      0.032 |      0.128 |      459.018 |       2.1%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.272 |      1.120 |     66.562 |       25.160 |      44.1%
Encodeur        |      0.066 |      0.032 |      0.097 |      968.912 |       2.3%
Modulateur      |      0.073 |      0.032 |      0.128 |      874.901 |       2.5%
Canal           |      1.280 |      0.960 |     16.321 |       49.998 |      44.3%
Demodulateur    |      0.067 |      0.032 |      0.097 |      951.550 |       2.3%
Decodeur        |      0.066 |      0.032 |      0.097 |      487.159 |       2.3%
Moniteur        |      0.063 |      0.032 |      0.096 |      508.734 |       2.2%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.206 |      1.120 |     10.177 |       26.533 |      43.5%
Encodeur        |      0.063 |      0.032 |      0.097 |     1008.934 |       2.3%
Modulateur      |      0.071 |      0.032 |      0.097 |      897.978 |       2.6%
Canal           |      1.240 |      0.960 |     67.074 |       51.604 |      44.8%
Demodulateur    |      0.066 |      0.032 |      0.097 |      976.719 |       2.4%
Decodeur        |      0.064 |      0.032 |      4.928 |      503.152 |       2.3%
Moniteur        |      0.061 |      0.032 |      0.097 |      527.541 |       2.2%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.212 |      1.120 |     91.076 |       26.396 |      43.7%
Encodeur        |      0.064 |      0.032 |      4.897 |     1005.787 |       2.3%
Modulateur      |      0.072 |      0.032 |      5.728 |      893.198 |       2.6%
Canal           |      1.235 |      0.960 |     67.042 |       51.812 |      44.5%
Demodulateur    |      0.067 |      0.032 |     60.162 |      959.401 |       2.4%
Decodeur        |      0.063 |      0.032 |      0.097 |      506.718 |       2.3%
Moniteur        |      0.061 |      0.032 |      5.120 |      527.425 |       2.2%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.208 |      1.088 |    136.133 |       26.484 |      43.6%
