
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.251 |      1.152 |      2.624 |       25.570 |      36.2%
Encodeur        |      0.065 |      0.032 |      0.160 |     1480.176 |       1.9%
Modulateur      |      0.098 |      0.064 |      0.832 |      979.503 |       2.8%
Canal           |      1.843 |      1.440 |      5.216 |       52.092 |      53.3%
Demodulateur    |      0.071 |      0.032 |      0.672 |     1349.398 |       2.1%
Decodeur        |      0.064 |      0.032 |      0.160 |      497.709 |       1.9%
Moniteur        |      0.066 |      0.032 |      0.640 |      486.824 |       1.9%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.236 |      1.152 |      1.344 |       25.885 |      36.3%
Encodeur        |      0.063 |      0.032 |      0.096 |     1534.562 |       1.8%
Modulateur      |      0.090 |      0.064 |      0.128 |     1067.308 |       2.6%
Canal           |      1.820 |      1.440 |      3.680 |       52.738 |      53.5%
Demodulateur    |      0.069 |      0.032 |      0.096 |     1399.160 |       2.0%
Decodeur        |      0.064 |      0.032 |      0.128 |      500.000 |       1.9%
Moniteur        |      0.060 |      0.032 |      0.096 |      531.100 |       1.8%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.236 |      1.184 |      1.312 |       25.880 |      36.5%
Encodeur        |      0.068 |      0.032 |      0.096 |     1419.463 |       2.0%
Modulateur      |      0.086 |      0.064 |      0.128 |     1110.236 |       2.6%
Canal           |      1.803 |      1.440 |      3.648 |       53.246 |      53.2%
Demodulateur    |      0.068 |      0.032 |      0.096 |     1410.000 |       2.0%
Decodeur        |      0.063 |      0.032 |      0.097 |      505.320 |       1.9%
Moniteur        |      0.064 |      0.032 |      0.097 |      498.178 |       1.9%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.233 |      1.152 |      1.312 |       25.946 |      31.9%
Encodeur        |      0.067 |      0.032 |      0.097 |     1442.500 |       1.7%
Modulateur      |      0.091 |      0.064 |      0.128 |     1060.241 |       2.3%
Canal           |      2.272 |      1.408 |     82.275 |       42.245 |      58.9%
Demodulateur    |      0.068 |      0.032 |      0.096 |     1419.355 |       1.8%
Decodeur        |      0.063 |      0.032 |      0.097 |      510.099 |       1.6%
Moniteur        |      0.068 |      0.032 |      0.096 |      473.079 |       1.8%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.406 |      1.152 |     46.273 |       22.758 |      39.3%
Encodeur        |      0.066 |      0.032 |      0.096 |     1455.720 |       1.8%
Modulateur      |      0.090 |      0.064 |      0.128 |     1061.867 |       2.5%
Canal           |      1.818 |      1.440 |      3.681 |       52.805 |      50.8%
Demodulateur    |      0.068 |      0.032 |      0.096 |     1411.449 |       1.9%
Decodeur        |      0.064 |      0.032 |      0.097 |      496.197 |       1.8%
Moniteur        |      0.064 |      0.032 |      0.096 |      496.226 |       1.8%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.235 |      1.152 |      1.344 |       25.911 |      34.3%
Encodeur        |      0.065 |      0.032 |      0.096 |     1480.337 |       1.8%
Modulateur      |      0.089 |      0.064 |      0.128 |     1075.464 |       2.5%
Canal           |      2.021 |      1.408 |    108.804 |       47.512 |      56.1%
Demodulateur    |      0.069 |      0.032 |      0.096 |     1392.952 |       1.9%
Decodeur        |      0.064 |      0.032 |      0.097 |      502.368 |       1.8%
Moniteur        |      0.061 |      0.032 |      0.096 |      525.424 |       1.7%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.272 |      1.152 |     48.098 |       25.161 |      35.8%
Encodeur        |      0.113 |      0.032 |     63.618 |      846.142 |       3.2%
Modulateur      |      0.090 |      0.064 |      0.128 |     1067.259 |       2.5%
Canal           |      1.882 |      1.408 |     76.387 |       50.997 |      53.0%
Demodulateur    |      0.067 |      0.032 |      0.192 |     1431.155 |       1.9%
Decodeur        |      0.064 |      0.032 |      0.128 |      500.343 |       1.8%
Moniteur        |      0.062 |      0.032 |      0.097 |      519.214 |       1.7%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.330 |      1.152 |      7.872 |       24.064 |      34.6%
Encodeur        |      0.070 |      0.032 |      0.416 |     1370.270 |       1.8%
Modulateur      |      0.097 |      0.064 |      0.384 |      989.757 |       2.5%
Canal           |      2.135 |      1.408 |    457.393 |       44.958 |      55.5%
Demodulateur    |      0.075 |      0.032 |      9.888 |     1275.158 |       2.0%
Decodeur        |      0.073 |      0.032 |     15.712 |      436.451 |       1.9%
Moniteur        |      0.066 |      0.032 |      0.448 |      484.134 |       1.7%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.230 |      1.152 |      6.337 |       26.024 |      36.2%
Encodeur        |      0.065 |      0.032 |      0.160 |     1469.507 |       1.9%
Modulateur      |      0.089 |      0.064 |      0.160 |     1075.570 |       2.6%
Canal           |      1.816 |      1.408 |     14.401 |       52.866 |      53.5%
Demodulateur    |      0.069 |      0.032 |     17.665 |     1394.712 |       2.0%
Decodeur        |      0.064 |      0.032 |      0.192 |      502.062 |       1.9%
Moniteur        |      0.061 |      0.032 |      0.128 |      526.259 |       1.8%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.231 |      1.120 |     18.112 |       25.993 |      36.3%
Encodeur        |      0.065 |      0.032 |      4.704 |     1470.416 |       1.9%
Modulateur      |      0.090 |      0.064 |      4.320 |     1071.871 |       2.6%
Canal           |      1.816 |      1.408 |     20.545 |       52.870 |      53.5%
Demodulateur    |      0.068 |      0.032 |      8.960 |     1410.134 |       2.0%
Decodeur        |      0.064 |      0.032 |      7.456 |      502.151 |       1.9%
Moniteur        |      0.061 |      0.032 |      0.097 |      528.609 |       1.8%

SNR = 10.0 dB
