
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.230 |      1.120 |     15.297 |       26.012 |      36.2%
Encodeur        |      0.065 |      0.032 |      8.512 |     1470.520 |       1.9%
Modulateur      |      0.090 |      0.064 |      8.704 |     1068.483 |       2.6%
Canal           |      1.816 |      1.408 |     98.916 |       52.855 |      53.5%
Demodulateur    |      0.068 |      0.032 |      9.729 |     1415.761 |       2.0%
Decodeur        |      0.064 |      0.032 |      8.192 |      501.238 |       1.9%
Moniteur        |      0.061 |      0.032 |      8.640 |      527.707 |       1.8%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.230 |      1.120 |     23.616 |       26.014 |      36.2%
Encodeur        |      0.065 |      0.032 |     13.088 |     1469.637 |       1.9%
Modulateur      |      0.090 |      0.064 |     11.841 |     1068.633 |       2.6%
Canal           |      1.816 |      1.408 |     19.905 |       52.858 |      53.5%
Demodulateur    |      0.068 |      0.032 |     13.824 |     1413.308 |       2.0%
Decodeur        |      0.064 |      0.032 |     11.872 |      500.886 |       1.9%
Moniteur        |      0.061 |      0.032 |      9.825 |      527.889 |       1.8%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.230 |      1.088 |    530.732 |       26.013 |      36.2%
Encodeur        |      0.065 |      0.032 |    178.373 |     1469.434 |       1.9%
Modulateur      |      0.090 |      0.064 |    132.965 |     1068.429 |       2.6%
Canal           |      1.816 |      1.376 |    647.123 |       52.854 |      53.5%
Demodulateur    |      0.068 |      0.032 |    217.157 |     1413.209 |       2.0%
Decodeur        |      0.064 |      0.032 |    200.390 |      501.120 |       1.9%
Moniteur        |      0.061 |      0.032 |     91.490 |      528.021 |       1.8%
