
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.477 |      1.376 |      4.001 |       21.673 |      29.4%
Encodeur        |      0.083 |      0.032 |      0.192 |     1536.122 |       1.7%
Modulateur      |      0.137 |      0.096 |      0.896 |      932.958 |       2.7%
Canal           |      3.071 |      2.400 |      6.496 |       41.678 |      61.2%
Demodulateur    |      0.091 |      0.064 |      0.704 |     1407.666 |       1.8%
Decodeur        |      0.080 |      0.032 |      0.192 |      400.794 |       1.6%
Moniteur        |      0.076 |      0.032 |      0.128 |      419.033 |       1.5%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.447 |      1.376 |      1.696 |       22.113 |      29.4%
Encodeur        |      0.081 |      0.064 |      0.128 |     1575.758 |       1.6%
Modulateur      |      0.133 |      0.096 |      0.160 |      962.893 |       2.7%
Canal           |      3.021 |      2.401 |      5.089 |       42.366 |      61.3%
Demodulateur    |      0.098 |      0.064 |      0.288 |     1312.173 |       2.0%
Decodeur        |      0.078 |      0.032 |      0.128 |      407.843 |       1.6%
Moniteur        |      0.069 |      0.032 |      0.128 |      466.368 |       1.4%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.443 |      1.376 |      1.504 |       22.179 |      29.2%
Encodeur        |      0.081 |      0.032 |      0.097 |     1584.425 |       1.6%
Modulateur      |      0.132 |      0.096 |      0.160 |      967.065 |       2.7%
Canal           |      3.052 |      2.432 |      5.184 |       41.937 |      61.8%
Demodulateur    |      0.084 |      0.064 |      0.160 |     1525.749 |       1.7%
Decodeur        |      0.077 |      0.032 |      0.128 |      415.270 |       1.6%
Moniteur        |      0.074 |      0.032 |      0.097 |      434.542 |       1.5%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.405 |      1.312 |      1.505 |       22.770 |      27.0%
Encodeur        |      0.078 |      0.032 |      0.128 |     1636.364 |       1.5%
Modulateur      |      0.129 |      0.096 |      0.160 |      990.826 |       2.5%
Canal           |      2.923 |      2.272 |      5.184 |       43.785 |      56.2%
Demodulateur    |      0.515 |      0.064 |     46.370 |      248.410 |       9.9%
Decodeur        |      0.076 |      0.032 |      0.128 |      420.233 |       1.5%
Moniteur        |      0.075 |      0.032 |      0.097 |      425.145 |       1.4%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.359 |      1.248 |      1.568 |       23.554 |      29.3%
Encodeur        |      0.074 |      0.032 |      0.096 |     1730.909 |       1.6%
Modulateur      |      0.126 |      0.096 |      0.160 |     1019.272 |       2.7%
Canal           |      2.852 |      2.272 |      4.800 |       44.874 |      61.5%
Demodulateur    |      0.083 |      0.064 |      0.256 |     1540.453 |       1.8%
Decodeur        |      0.073 |      0.032 |      0.096 |      435.897 |       1.6%
Moniteur        |      0.073 |      0.032 |      0.128 |      435.897 |       1.6%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.363 |      1.280 |      1.440 |       23.481 |      29.3%
Encodeur        |      0.076 |      0.032 |      0.128 |     1693.446 |       1.6%
Modulateur      |      0.122 |      0.096 |      0.160 |     1050.030 |       2.6%
Canal           |      2.852 |      2.240 |      4.800 |       44.876 |      61.4%
Demodulateur    |      0.085 |      0.064 |      0.160 |     1504.834 |       1.8%
Decodeur        |      0.073 |      0.032 |      0.160 |      438.001 |       1.6%
Moniteur        |      0.074 |      0.032 |      0.128 |      433.048 |       1.6%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.363 |      1.280 |      1.409 |       23.482 |      29.4%
Encodeur        |      0.077 |      0.032 |      0.096 |     1664.783 |       1.7%
Modulateur      |      0.124 |      0.096 |      0.160 |     1035.053 |       2.7%
Canal           |      2.846 |      2.240 |      4.801 |       44.976 |      61.3%
Demodulateur    |      0.085 |      0.064 |      0.192 |     1505.963 |       1.8%
Decodeur        |      0.073 |      0.032 |      0.128 |      439.337 |       1.6%
Moniteur        |      0.074 |      0.032 |      0.128 |      430.799 |       1.6%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.305 |      1.216 |      1.408 |       24.525 |      28.7%
Encodeur        |      0.170 |      0.032 |     40.001 |      752.626 |       3.7%
Modulateur      |      0.118 |      0.096 |      0.160 |     1086.057 |       2.6%
Canal           |      2.732 |      2.112 |      4.896 |       46.857 |      60.1%
Demodulateur    |      0.078 |      0.032 |      0.128 |     1649.443 |       1.7%
Decodeur        |      0.071 |      0.032 |      0.096 |      449.227 |       1.6%
Moniteur        |      0.069 |      0.032 |      0.128 |      463.010 |       1.5%

SNR = 8.0 dB
