
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.257 |      1.120 |      1.504 |       25.464 |      29.3%
Encodeur        |      0.071 |      0.032 |      0.097 |     1806.953 |       1.6%
Modulateur      |      0.114 |      0.096 |      0.160 |     1120.762 |       2.7%
Canal           |      2.644 |      1.984 |     18.465 |       48.409 |      61.6%
Demodulateur    |      0.076 |      0.032 |      0.160 |     1677.613 |       1.8%
Decodeur        |      0.068 |      0.032 |      0.097 |      470.798 |       1.6%
Moniteur        |      0.065 |      0.032 |      0.096 |      491.204 |       1.5%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.201 |      1.120 |      1.280 |       26.653 |      29.3%
Encodeur        |      0.068 |      0.032 |      0.097 |     1893.915 |       1.6%
Modulateur      |      0.109 |      0.064 |      0.160 |     1176.755 |       2.7%
Canal           |      2.524 |      1.984 |     20.768 |       50.708 |      61.5%
Demodulateur    |      0.074 |      0.032 |      0.128 |     1733.595 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.128 |      492.913 |       1.6%
Moniteur        |      0.062 |      0.032 |      0.097 |      519.322 |       1.5%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.203 |      1.120 |      6.976 |       26.610 |      29.2%
Encodeur        |      0.067 |      0.032 |      0.097 |     1913.387 |       1.6%
Modulateur      |      0.109 |      0.064 |      0.160 |     1177.222 |       2.6%
Canal           |      2.537 |      1.984 |     85.891 |       50.458 |      61.6%
Demodulateur    |      0.074 |      0.032 |      0.128 |     1727.840 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.128 |      491.869 |       1.6%
Moniteur        |      0.061 |      0.032 |      0.097 |      522.694 |       1.5%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.204 |      1.120 |     17.952 |       26.573 |      29.4%
Encodeur        |      0.067 |      0.032 |      5.569 |     1905.788 |       1.6%
Modulateur      |      0.109 |      0.064 |     15.968 |     1170.822 |       2.7%
Canal           |      2.520 |      1.952 |     17.889 |       50.787 |      61.5%
Demodulateur    |      0.073 |      0.032 |      0.928 |     1750.306 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.160 |      491.796 |       1.6%
Moniteur        |      0.061 |      0.032 |      9.728 |      522.450 |       1.5%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.207 |      1.088 |    317.387 |       26.511 |      29.4%
Encodeur        |      0.067 |      0.032 |      4.865 |     1909.966 |       1.6%
Modulateur      |      0.109 |      0.064 |     11.872 |     1169.012 |       2.7%
Canal           |      2.525 |      1.952 |    385.933 |       50.684 |      61.5%
Demodulateur    |      0.074 |      0.032 |      5.728 |     1734.501 |       1.8%
Decodeur        |      0.065 |      0.032 |      8.480 |      489.765 |       1.6%
Moniteur        |      0.061 |      0.032 |      6.624 |      525.716 |       1.5%

SNR = 13.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.204 |      1.088 |   1427.440 |       26.583 |      29.4%
Encodeur        |      0.067 |      0.032 |     12.321 |     1911.889 |       1.6%
Modulateur      |      0.109 |      0.064 |     20.416 |     1172.907 |       2.7%
Canal           |      2.518 |      1.952 |    503.217 |       50.841 |      61.5%
Demodulateur    |      0.074 |      0.032 |     15.168 |     1738.796 |       1.8%
Decodeur        |      0.065 |      0.032 |      9.920 |      492.568 |       1.6%
Moniteur        |      0.061 |      0.032 |     11.041 |      526.663 |       1.5%

SNR = 14.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.211 |      1.088 |   9674.697 |       26.434 |      29.4%
Encodeur        |      0.067 |      0.032 |   1829.182 |     1902.803 |       1.6%
Modulateur      |      0.110 |      0.064 |   1341.614 |     1168.336 |       2.7%
Canal           |      2.529 |      1.952 |  10292.350 |       50.608 |      61.4%
Demodulateur    |      0.074 |      0.032 |   3446.260 |     1719.944 |       1.8%
Decodeur        |      0.066 |      0.032 |   2704.124 |      487.652 |       1.6%
Moniteur        |      0.061 |      0.032 |    981.537 |      523.786 |       1.5%
