
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.368 |      1.280 |      3.136 |       23.397 |      52.0%
Encodeur        |      0.067 |      0.032 |      0.096 |      475.556 |       2.6%
Modulateur      |      0.079 |      0.032 |      1.216 |      406.844 |       3.0%
Canal           |      0.900 |      0.704 |      4.512 |       35.571 |      34.2%
Demodulateur    |      0.075 |      0.032 |      0.672 |      424.603 |       2.9%
Decodeur        |      0.069 |      0.032 |      0.160 |      463.203 |       2.6%
Moniteur        |      0.070 |      0.032 |      0.128 |      457.265 |       2.7%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.356 |      1.280 |      1.473 |       23.597 |      52.4%
Encodeur        |      0.062 |      0.032 |      0.096 |      512.605 |       2.4%
Modulateur      |      0.070 |      0.032 |      0.128 |      458.593 |       2.7%
Canal           |      0.888 |      0.704 |      3.168 |       36.019 |      34.3%
Demodulateur    |      0.072 |      0.032 |      0.128 |      445.255 |       2.8%
Decodeur        |      0.070 |      0.032 |      0.096 |      460.323 |       2.7%
Moniteur        |      0.071 |      0.032 |      0.128 |      448.529 |       2.8%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.350 |      1.280 |      1.440 |       23.702 |      50.2%
Encodeur        |      0.068 |      0.032 |      0.096 |      468.308 |       2.5%
Modulateur      |      0.071 |      0.032 |      0.096 |      452.599 |       2.6%
Canal           |      0.984 |      0.704 |     16.512 |       32.533 |      36.6%
Demodulateur    |      0.073 |      0.032 |      0.096 |      439.169 |       2.7%
Decodeur        |      0.073 |      0.032 |      0.128 |      436.578 |       2.7%
Moniteur        |      0.072 |      0.032 |      0.097 |      444.361 |       2.7%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.350 |      1.280 |      1.440 |       23.702 |      52.3%
Encodeur        |      0.069 |      0.032 |      0.096 |      462.230 |       2.7%
Modulateur      |      0.069 |      0.032 |      0.096 |      464.455 |       2.7%
Canal           |      0.878 |      0.704 |      3.168 |       36.430 |      34.0%
Demodulateur    |      0.071 |      0.032 |      0.096 |      449.509 |       2.8%
Decodeur        |      0.069 |      0.032 |      0.096 |      465.558 |       2.7%
Moniteur        |      0.075 |      0.032 |      0.128 |      426.986 |       2.9%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.357 |      1.248 |      1.537 |       23.585 |      52.4%
Encodeur        |      0.067 |      0.032 |      0.096 |      474.878 |       2.6%
Modulateur      |      0.068 |      0.032 |      0.128 |      468.004 |       2.6%
Canal           |      0.884 |      0.672 |      3.168 |       36.194 |      34.1%
Demodulateur    |      0.069 |      0.032 |      0.128 |      463.585 |       2.7%
Decodeur        |      0.070 |      0.032 |      0.096 |      455.654 |       2.7%
Moniteur        |      0.074 |      0.032 |      0.128 |      432.792 |       2.9%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.352 |      1.280 |      1.440 |       23.661 |      52.4%
Encodeur        |      0.067 |      0.032 |      0.096 |      479.451 |       2.6%
Modulateur      |      0.068 |      0.032 |      0.096 |      470.919 |       2.6%
Canal           |      0.882 |      0.672 |      3.168 |       36.268 |      34.2%
Demodulateur    |      0.070 |      0.032 |      0.096 |      457.599 |       2.7%
Decodeur        |      0.069 |      0.032 |      0.096 |      463.956 |       2.7%
Moniteur        |      0.071 |      0.032 |      0.128 |      453.875 |       2.7%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.331 |      1.184 |     30.497 |       24.034 |      52.9%
Encodeur        |      0.066 |      0.032 |      0.097 |      482.881 |       2.6%
Modulateur      |      0.067 |      0.032 |      0.160 |      478.267 |       2.7%
Canal           |      0.850 |      0.640 |      3.168 |       37.637 |      33.8%
Demodulateur    |      0.067 |      0.032 |      0.097 |      474.761 |       2.7%
Decodeur        |      0.067 |      0.032 |      0.096 |      477.237 |       2.7%
Moniteur        |      0.066 |      0.032 |      0.097 |      483.929 |       2.6%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.297 |      1.120 |    344.745 |       24.679 |      53.9%
Encodeur        |      0.062 |      0.032 |      0.128 |      517.206 |       2.6%
Modulateur      |      0.063 |      0.032 |      0.224 |      508.199 |       2.6%
Canal           |      0.795 |      0.608 |     22.849 |       40.275 |      33.0%
Demodulateur    |      0.063 |      0.032 |      0.160 |      506.764 |       2.6%
Decodeur        |      0.063 |      0.032 |      0.097 |      505.733 |       2.6%
Moniteur        |      0.062 |      0.032 |      0.160 |      517.206 |       2.6%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.207 |      1.120 |     20.865 |       26.516 |      52.3%
Encodeur        |      0.062 |      0.032 |      0.097 |      518.143 |       2.7%
Modulateur      |      0.063 |      0.032 |      0.800 |      509.042 |       2.7%
Canal           |      0.787 |      0.608 |     22.497 |       40.642 |      34.1%
Demodulateur    |      0.063 |      0.032 |      0.512 |      509.834 |       2.7%
Decodeur        |      0.063 |      0.032 |      0.097 |      509.438 |       2.7%
Moniteur        |      0.061 |      0.032 |      7.232 |      522.049 |       2.7%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.202 |      1.088 |      9.856 |       26.618 |      52.3%
Encodeur        |      0.062 |      0.032 |     14.145 |      518.887 |       2.7%
Modulateur      |      0.063 |      0.032 |      5.024 |      508.742 |       2.7%
Canal           |      0.784 |      0.576 |     13.953 |       40.798 |      34.1%
Demodulateur    |      0.063 |      0.032 |      6.400 |      511.350 |       2.7%
Decodeur        |      0.063 |      0.032 |      3.520 |      510.685 |       2.7%
Moniteur        |      0.061 |      0.032 |      4.448 |      525.459 |       2.7%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.201 |      1.088 |     32.321 |       26.650 |      52.3%
Encodeur        |      0.062 |      0.032 |     56.834 |      519.978 |       2.7%
Modulateur      |      0.063 |      0.032 |      5.536 |      510.498 |       2.7%
Canal           |      0.783 |      0.576 |     15.520 |       40.877 |      34.1%
Demodulateur    |      0.062 |      0.032 |      5.632 |      512.556 |       2.7%
Decodeur        |      0.063 |      0.032 |     20.833 |      509.657 |       2.7%
Moniteur        |      0.061 |      0.032 |      4.864 |      526.684 |       2.6%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.203 |      1.088 |   2188.635 |       26.605 |      52.4%
Encodeur        |      0.062 |      0.032 |     21.473 |      520.117 |       2.7%
Modulateur      |      0.063 |      0.032 |     23.488 |      510.094 |       2.7%
Canal           |      0.784 |      0.576 |   1882.323 |       40.809 |      34.1%
Demodulateur    |      0.063 |      0.032 |     24.961 |      511.743 |       2.7%
Decodeur        |      0.063 |      0.032 |    202.886 |      509.487 |       2.7%
Moniteur        |      0.061 |      0.032 |    358.026 |      525.440 |       2.7%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.204 |      1.088 |  13392.691 |       26.584 |      52.3%
Encodeur        |      0.062 |      0.032 |   4335.612 |      518.810 |       2.7%
Modulateur      |      0.063 |      0.032 |  12024.568 |      508.705 |       2.7%
Canal           |      0.785 |      0.576 |  10597.134 |       40.766 |      34.1%
Demodulateur    |      0.063 |      0.032 |   4498.718 |      510.410 |       2.7%
Decodeur        |      0.063 |      0.032 |  10628.362 |      508.614 |       2.7%
Moniteur        |      0.061 |      0.032 |   1581.038 |      524.799 |       2.7%
