Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,0.0,0.707107,270,100,107,7.885514e-02,9.345794e-01,0.000355,0.000003318,9.645
1.0,1.0,0.630210,228,100,122,5.840164e-02,8.196721e-01,0.000396,0.000003246,9.859
2.0,2.0,0.561675,170,100,148,3.589527e-02,6.756757e-01,0.000481,0.000003250,9.846
3.0,3.0,0.500593,154,100,196,2.455357e-02,5.102041e-01,0.000629,0.000003209,9.971
4.0,4.0,0.446154,119,100,293,1.269198e-02,3.412969e-01,0.000943,0.000003218,9.943
5.0,5.0,0.397635,111,100,502,6.909861e-03,1.992032e-01,0.001609,0.000003205,9.984
6.0,6.0,0.354393,105,100,1101,2.980245e-03,9.082652e-02,0.003407,0.000003094,10.341
7.0,7.0,0.315853,102,100,4266,7.471871e-04,2.344116e-02,0.012288,0.000002880,11.109
8.0,8.0,0.281504,102,100,17652,1.805744e-04,5.665081e-03,0.050455,0.000002858,11.195
9.0,9.0,0.250891,100,100,89879,3.476897e-05,1.112607e-03,0.256167,0.000002850,11.228
10.0,10.0,0.223607,100,100,859206,3.637079e-06,1.163865e-04,2.445499,0.000002846,11.243
11.0,11.0,0.199290,100,100,9952149,3.140025e-07,1.004808e-05,28.352805,0.000002849,11.232
12.0,12.0,0.177617,100,100,333447821,9.371782e-09,2.998970e-07,950.373983,0.000002850,11.228
