Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,553,100,100,1.728125e-01,1.000000e+00,0.000578,0.000005780,5.536
1.0,-5.0,1.260419,462,100,102,1.415441e-01,9.803922e-01,0.000583,0.000005716,5.599
2.0,-4.0,1.123350,327,100,101,1.011757e-01,9.900990e-01,0.000538,0.000005327,6.007
3.0,-3.0,1.001187,281,100,105,8.363095e-02,9.523810e-01,0.000556,0.000005295,6.043
4.0,-2.0,0.892308,204,100,117,5.448718e-02,8.547009e-01,0.000622,0.000005316,6.019
5.0,-1.0,0.795271,171,100,144,3.710938e-02,6.944444e-01,0.000763,0.000005299,6.039
6.0,-0.0,0.708786,117,100,216,1.692708e-02,4.629630e-01,0.001055,0.000004884,6.552
7.0,1.0,0.631706,115,100,394,9.121193e-03,2.538071e-01,0.001965,0.000004987,6.416
8.0,2.0,0.563009,107,100,730,4.580480e-03,1.369863e-01,0.003755,0.000005144,6.221
9.0,3.0,0.501782,103,100,1648,1.953125e-03,6.067961e-02,0.008021,0.000004867,6.575
10.0,4.0,0.447214,101,100,5790,5.451209e-04,1.727116e-02,0.027205,0.000004699,6.811
11.0,5.0,0.398580,100,100,25044,1.247804e-04,3.992972e-03,0.117656,0.000004698,6.811
12.0,6.0,0.355234,100,100,153981,2.029471e-05,6.494308e-04,0.723912,0.000004701,6.807
13.0,7.0,0.316603,100,100,1547482,2.019410e-06,6.462110e-05,7.265816,0.000004695,6.815
14.0,8.0,0.282173,100,100,23626711,1.322655e-07,4.232497e-06,110.890727,0.000004693,6.818
15.0,9.0,0.251487,100,100,644403579,4.849445e-09,1.551822e-07,3027.288612,0.000004698,6.812
