
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Modulateur      |      0.073 |      0.032 |      0.576 |      871.932 |       2.6%
Canal           |      1.384 |      1.056 |    119.274 |       46.249 |      48.7%
Demodulateur    |      0.066 |      0.032 |      9.857 |      965.165 |       2.3%
Decodeur        |      0.064 |      0.032 |      4.353 |      498.363 |       2.3%
Moniteur        |      0.061 |      0.032 |      9.824 |      521.344 |       2.2%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.128 |      1.056 |    654.132 |       28.358 |      39.7%
Encodeur        |      0.064 |      0.032 |      9.505 |      998.146 |       2.3%
Modulateur      |      0.074 |      0.032 |     12.705 |      870.638 |       2.6%
Canal           |      1.382 |      1.056 |    354.332 |       46.309 |      48.7%
Demodulateur    |      0.066 |      0.032 |     10.465 |      965.648 |       2.3%
Decodeur        |      0.064 |      0.032 |     10.081 |      501.220 |       2.2%
Moniteur        |      0.061 |      0.032 |     23.202 |      523.351 |       2.2%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.127 |      1.056 |    328.154 |       28.398 |      39.7%
Encodeur        |      0.064 |      0.032 |     14.145 |      998.357 |       2.3%
Modulateur      |      0.073 |      0.032 |    341.915 |      871.818 |       2.6%
Canal           |      1.381 |      1.056 |    333.626 |       46.346 |      48.7%
Demodulateur    |      0.066 |      0.032 |     29.955 |      966.588 |       2.3%
Decodeur        |      0.064 |      0.032 |     51.364 |      501.731 |       2.2%
Moniteur        |      0.061 |      0.032 |     64.070 |      524.041 |       2.2%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.128 |      1.024 |  12057.241 |       28.372 |      39.7%
Encodeur        |      0.064 |      0.032 |   4890.147 |      998.134 |       2.3%
Modulateur      |      0.073 |      0.032 |   8569.810 |      870.901 |       2.6%
Canal           |      1.382 |      1.056 |  10649.435 |       46.307 |      48.7%
Demodulateur    |      0.066 |      0.032 |   2903.164 |      968.491 |       2.3%
Decodeur        |      0.064 |      0.032 |    909.179 |      501.422 |       2.2%
Moniteur        |      0.061 |      0.032 |   2674.988 |      524.822 |       2.1%
