Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-3.0,1.000000,278,100,110,7.897727e-02,9.090909e-01,0.000411,0.000003736,8.564
1.0,-2.0,0.891251,203,100,112,5.664062e-02,8.928571e-01,0.000409,0.000003652,8.763
2.0,-1.0,0.794328,166,100,144,3.602431e-02,6.944444e-01,0.000523,0.000003632,8.811
3.0,-0.0,0.707946,134,100,186,2.251344e-02,5.376344e-01,0.000638,0.000003430,9.329
4.0,1.0,0.630957,122,100,343,1.111516e-02,2.915452e-01,0.001182,0.000003446,9.286
5.0,2.0,0.562341,112,100,630,5.555556e-03,1.587302e-01,0.002246,0.000003565,8.976
6.0,3.0,0.501187,102,100,1395,2.284946e-03,7.168459e-02,0.004852,0.000003478,9.200
7.0,4.0,0.446684,101,100,4093,7.711336e-04,2.443196e-02,0.014050,0.000003433,9.322
8.0,5.0,0.398107,100,100,14252,2.192675e-04,7.016559e-03,0.048951,0.000003435,9.317
9.0,6.0,0.354813,100,100,100362,3.113728e-05,9.963930e-04,0.344076,0.000003428,9.334
10.0,7.0,0.316228,100,100,961851,3.248944e-06,1.039662e-04,3.297032,0.000003428,9.335
11.0,8.0,0.281838,100,100,11958300,2.613248e-07,8.362393e-06,40.961161,0.000003425,9.342
12.0,9.0,0.251189,100,100,277473150,1.126235e-08,3.603952e-07,948.777920,0.000003419,9.359
