Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-4.8,1.224745,268,100,102,8.210784e-02,9.803922e-01,0.000487,0.000004775,6.702
1.0,-3.8,1.091555,227,100,118,6.011653e-02,8.474576e-01,0.000556,0.000004712,6.791
2.0,-2.8,0.972849,176,100,131,4.198473e-02,7.633588e-01,0.000601,0.000004588,6.975
3.0,-1.8,0.867053,144,100,171,2.631579e-02,5.847953e-01,0.000712,0.000004164,7.685
4.0,-0.8,0.772762,126,100,249,1.581325e-02,4.016064e-01,0.001071,0.000004301,7.440
5.0,0.2,0.688725,110,100,519,6.623314e-03,1.926782e-01,0.002424,0.000004671,6.851
6.0,1.2,0.613827,104,100,1260,2.579365e-03,7.936508e-02,0.005572,0.000004422,7.236
7.0,2.2,0.547073,101,100,3899,8.095024e-04,2.564760e-02,0.016300,0.000004181,7.654
8.0,3.2,0.487580,100,100,14446,2.163229e-04,6.922332e-03,0.059849,0.000004143,7.724
9.0,4.2,0.434556,100,100,93767,3.332729e-05,1.066473e-03,0.388349,0.000004142,7.726
10.0,5.2,0.387298,100,100,768680,4.065411e-06,1.300931e-04,3.185097,0.000004144,7.723
11.0,6.2,0.345180,100,100,10298039,3.034558e-07,9.710587e-06,42.662092,0.000004143,7.724
