
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.590 |      1.280 |     22.913 |       20.132 |      30.9%
Encodeur        |      0.082 |      0.064 |      0.160 |     1568.627 |       1.6%
Modulateur      |      0.136 |      0.096 |      0.800 |      938.829 |       2.7%
Canal           |      3.083 |      2.464 |      6.656 |       41.518 |      60.0%
Demodulateur    |      0.096 |      0.064 |      0.705 |     1337.513 |       1.9%
Decodeur        |      0.079 |      0.032 |      0.192 |      406.504 |       1.5%
Moniteur        |      0.075 |      0.032 |      0.096 |      427.350 |       1.5%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.354 |      1.280 |      1.472 |       23.631 |      27.7%
Encodeur        |      0.077 |      0.064 |      0.128 |     1658.537 |       1.6%
Modulateur      |      0.131 |      0.096 |      0.160 |      976.077 |       2.7%
Canal           |      3.088 |      2.432 |      5.409 |       41.454 |      63.1%
Demodulateur    |      0.089 |      0.064 |      0.192 |     1431.265 |       1.8%
Decodeur        |      0.077 |      0.032 |      0.096 |      412.955 |       1.6%
Moniteur        |      0.072 |      0.032 |      0.128 |      441.558 |       1.5%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.264 |      1.216 |      1.376 |       25.325 |      26.8%
Encodeur        |      0.075 |      0.032 |      0.096 |     1711.864 |       1.6%
Modulateur      |      0.124 |      0.096 |      0.160 |     1035.897 |       2.6%
Canal           |      3.034 |      2.304 |     20.961 |       42.182 |      64.3%
Demodulateur    |      0.085 |      0.064 |      0.128 |     1501.859 |       1.8%
Decodeur        |      0.072 |      0.032 |      0.128 |      444.873 |       1.5%
Moniteur        |      0.066 |      0.032 |      0.097 |      483.181 |       1.4%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.265 |      1.216 |      1.312 |       25.300 |      27.9%
Encodeur        |      0.075 |      0.032 |      0.096 |     1707.317 |       1.7%
Modulateur      |      0.123 |      0.096 |      0.160 |     1042.184 |       2.7%
Canal           |      2.854 |      2.272 |      4.769 |       44.855 |      63.0%
Demodulateur    |      0.080 |      0.064 |      0.128 |     1590.909 |       1.8%
Decodeur        |      0.069 |      0.032 |      0.096 |      466.667 |       1.5%
Moniteur        |      0.066 |      0.032 |      0.096 |      481.651 |       1.5%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.266 |      1.216 |      1.312 |       25.275 |      27.7%
Encodeur        |      0.074 |      0.032 |      0.128 |     1720.588 |       1.6%
Modulateur      |      0.119 |      0.096 |      0.160 |     1073.318 |       2.6%
Canal           |      2.880 |      2.304 |      4.800 |       44.438 |      63.1%
Demodulateur    |      0.082 |      0.064 |      0.128 |     1560.000 |       1.8%
Decodeur        |      0.071 |      0.032 |      0.096 |      450.000 |       1.6%
Moniteur        |      0.071 |      0.032 |      0.097 |      453.433 |       1.5%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.263 |      1.216 |      1.312 |       25.338 |      27.7%
Encodeur        |      0.074 |      0.032 |      0.096 |     1729.730 |       1.6%
Modulateur      |      0.122 |      0.096 |      0.160 |     1051.095 |       2.7%
Canal           |      2.867 |      2.304 |      4.769 |       44.652 |      62.9%
Demodulateur    |      0.080 |      0.064 |      0.128 |     1604.457 |       1.8%
Decodeur        |      0.075 |      0.032 |      0.097 |      425.996 |       1.6%
Moniteur        |      0.074 |      0.032 |      0.128 |      435.045 |       1.6%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      2.385 |      1.056 |    252.812 |       13.419 |      43.3%
Encodeur        |      0.070 |      0.032 |      0.096 |     1826.638 |       1.3%
Modulateur      |      0.114 |      0.064 |      0.640 |     1119.080 |       2.1%
Canal           |      2.731 |      2.016 |     28.642 |       46.868 |      49.6%
Demodulateur    |      0.076 |      0.032 |      0.128 |     1684.211 |       1.4%
Decodeur        |      0.067 |      0.032 |      0.128 |      477.876 |       1.2%
Moniteur        |      0.068 |      0.032 |      0.128 |      470.588 |       1.2%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.186 |      1.088 |      1.473 |       26.979 |      24.2%
Encodeur        |      0.071 |      0.032 |      0.160 |     1798.958 |       1.4%
Modulateur      |      0.113 |      0.096 |      0.160 |     1135.370 |       2.3%
Canal           |      3.329 |      2.016 |    252.779 |       38.451 |      67.8%
Demodulateur    |      0.077 |      0.032 |      0.160 |     1667.615 |       1.6%
Decodeur        |      0.068 |      0.032 |      0.128 |      472.387 |       1.4%
Moniteur        |      0.066 |      0.032 |      0.128 |      481.663 |       1.4%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.208 |      1.120 |      1.536 |       26.486 |      24.3%
Encodeur        |      0.071 |      0.032 |      0.096 |     1794.680 |       1.4%
Modulateur      |      0.116 |      0.096 |      0.256 |     1107.686 |       2.3%
Canal           |      3.360 |      2.144 |    443.092 |       38.099 |      67.6%
Demodulateur    |      0.079 |      0.032 |      0.128 |     1619.439 |       1.6%
Decodeur        |      0.070 |      0.032 |      0.128 |      458.246 |       1.4%
Moniteur        |      0.067 |      0.032 |      0.544 |      476.161 |       1.4%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.353 |      1.088 |    319.439 |       23.645 |      30.8%
Encodeur        |      0.069 |      0.032 |      0.097 |     1848.991 |       1.6%
Modulateur      |      0.111 |      0.064 |      0.160 |     1153.595 |       2.5%
Canal           |      2.652 |      2.016 |     21.153 |       48.264 |      60.4%
Demodulateur    |      0.076 |      0.032 |      0.160 |     1691.449 |       1.7%
