
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Decodeur        |      0.067 |      0.032 |      0.097 |      474.087 |       1.5%
Moniteur        |      0.063 |      0.032 |      0.096 |      509.886 |       1.4%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.056 |     15.200 |       28.448 |      27.8%
Encodeur        |      0.067 |      0.032 |      0.097 |     1921.897 |       1.6%
Modulateur      |      0.108 |      0.064 |      0.608 |     1187.658 |       2.7%
Canal           |      2.553 |      2.016 |     21.377 |       50.132 |      63.0%
Demodulateur    |      0.073 |      0.032 |      0.097 |     1764.622 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.097 |      490.483 |       1.6%
Moniteur        |      0.061 |      0.032 |      0.097 |      526.997 |       1.5%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.056 |      8.896 |       28.454 |      27.8%
Encodeur        |      0.067 |      0.032 |      4.128 |     1907.729 |       1.7%
Modulateur      |      0.108 |      0.064 |      5.280 |     1184.722 |       2.7%
Canal           |      2.550 |      2.016 |     14.881 |       50.204 |      63.0%
Demodulateur    |      0.073 |      0.032 |      0.128 |     1751.033 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.192 |      491.971 |       1.6%
Moniteur        |      0.061 |      0.032 |      0.097 |      526.895 |       1.5%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.128 |      1.056 |    234.059 |       28.381 |      27.8%
Encodeur        |      0.067 |      0.032 |      4.064 |     1909.684 |       1.7%
Modulateur      |      0.108 |      0.064 |      5.504 |     1183.403 |       2.7%
Canal           |      2.560 |      1.985 |    894.920 |       50.003 |      63.0%
Demodulateur    |      0.073 |      0.032 |      4.416 |     1747.095 |       1.8%
Decodeur        |      0.065 |      0.032 |      4.000 |      490.365 |       1.6%
Moniteur        |      0.061 |      0.032 |      4.352 |      526.480 |       1.5%

SNR = 13.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.124 |      1.056 |     38.146 |       28.470 |      27.8%
Encodeur        |      0.067 |      0.032 |     23.905 |     1910.571 |       1.7%
Modulateur      |      0.108 |      0.064 |     14.176 |     1184.944 |       2.7%
Canal           |      2.546 |      1.984 |     33.537 |       50.279 |      63.0%
Demodulateur    |      0.073 |      0.032 |      5.536 |     1747.628 |       1.8%
Decodeur        |      0.065 |      0.032 |      5.440 |      491.729 |       1.6%
Moniteur        |      0.061 |      0.032 |      5.697 |      526.912 |       1.5%

SNR = 14.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.123 |      1.024 |     28.386 |       28.498 |      27.8%
Encodeur        |      0.067 |      0.032 |      7.744 |     1913.403 |       1.7%
Modulateur      |      0.108 |      0.064 |     41.250 |     1185.195 |       2.7%
Canal           |      2.545 |      1.984 |     44.066 |       50.294 |      63.0%
Demodulateur    |      0.073 |      0.032 |      7.968 |     1748.186 |       1.8%
Decodeur        |      0.065 |      0.032 |      6.817 |      490.673 |       1.6%
Moniteur        |      0.061 |      0.032 |      7.969 |      526.833 |       1.5%

SNR = 15.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.128 |      1.024 |  25021.859 |       28.375 |      27.8%
Encodeur        |      0.067 |      0.032 |  12039.356 |     1906.655 |       1.7%
Modulateur      |      0.108 |      0.064 |  18054.409 |     1180.893 |       2.7%
Canal           |      2.554 |      1.984 |  20052.441 |       50.109 |      63.0%
Demodulateur    |      0.073 |      0.032 |  16043.229 |     1742.616 |       1.8%
Decodeur        |      0.065 |      0.032 |  17374.926 |      489.301 |       1.6%
Moniteur        |      0.061 |      0.032 |  11444.836 |      524.948 |       1.5%
