
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Moniteur        |      0.071 |      0.032 |      0.096 |      448.148 |       1.6%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.261 |      1.216 |      1.312 |       25.377 |      27.6%
Encodeur        |      0.075 |      0.032 |      0.128 |     1702.350 |       1.6%
Modulateur      |      0.127 |      0.096 |      0.160 |     1007.728 |       2.8%
Canal           |      2.881 |      2.304 |      4.800 |       44.428 |      63.0%
Demodulateur    |      0.082 |      0.064 |      0.128 |     1559.575 |       1.8%
Decodeur        |      0.072 |      0.032 |      0.096 |      444.142 |       1.6%
Moniteur        |      0.073 |      0.032 |      0.128 |      436.961 |       1.6%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.261 |      1.216 |      1.312 |       25.372 |      27.7%
Encodeur        |      0.072 |      0.032 |      0.096 |     1766.990 |       1.6%
Modulateur      |      0.127 |      0.096 |      0.160 |     1005.481 |       2.8%
Canal           |      2.867 |      2.304 |      4.800 |       44.639 |      63.0%
Demodulateur    |      0.082 |      0.064 |      0.160 |     1558.887 |       1.8%
Decodeur        |      0.072 |      0.032 |      0.097 |      444.954 |       1.6%
Moniteur        |      0.073 |      0.032 |      0.128 |      440.678 |       1.6%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.222 |      1.120 |      1.312 |       26.188 |      27.2%
Encodeur        |      0.073 |      0.032 |      0.096 |     1742.331 |       1.6%
Modulateur      |      0.122 |      0.096 |      0.160 |     1051.828 |       2.7%
Canal           |      2.847 |      2.144 |     27.777 |       44.958 |      63.4%
Demodulateur    |      0.081 |      0.032 |      0.128 |     1575.972 |       1.8%
Decodeur        |      0.072 |      0.032 |      0.096 |      447.068 |       1.6%
Moniteur        |      0.071 |      0.032 |      0.128 |      451.654 |       1.6%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.182 |      1.088 |      1.344 |       27.070 |      27.4%
Encodeur        |      0.070 |      0.032 |      0.096 |     1829.912 |       1.6%
Modulateur      |      0.120 |      0.096 |      0.160 |     1069.824 |       2.8%
Canal           |      2.723 |      2.048 |     20.769 |       47.012 |      63.2%
Demodulateur    |      0.077 |      0.032 |      0.128 |     1662.822 |       1.8%
Decodeur        |      0.069 |      0.032 |      0.096 |      460.857 |       1.6%
Moniteur        |      0.067 |      0.032 |      0.097 |      479.596 |       1.5%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.136 |      1.056 |     19.905 |       28.170 |      27.5%
Encodeur        |      0.067 |      0.032 |      0.160 |     1898.720 |       1.6%
Modulateur      |      0.113 |      0.096 |      0.448 |     1136.180 |       2.7%
Canal           |      2.612 |      1.984 |    135.525 |       49.001 |      63.3%
Demodulateur    |      0.073 |      0.032 |      0.160 |     1757.386 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.128 |      490.200 |       1.6%
Moniteur        |      0.061 |      0.032 |      0.160 |      526.371 |       1.5%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.126 |      1.056 |     12.769 |       28.426 |      27.5%
Encodeur        |      0.067 |      0.032 |      0.128 |     1912.078 |       1.6%
Modulateur      |      0.113 |      0.096 |      0.161 |     1136.137 |       2.8%
Canal           |      2.586 |      2.016 |     90.948 |       49.497 |      63.2%
Demodulateur    |      0.073 |      0.032 |      0.128 |     1750.728 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.128 |      493.982 |       1.6%
Moniteur        |      0.061 |      0.032 |      0.097 |      524.740 |       1.5%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.129 |      1.056 |     61.827 |       28.338 |      27.7%
Encodeur        |      0.069 |      0.032 |     55.107 |     1850.705 |       1.7%
Modulateur      |      0.117 |      0.096 |     70.978 |     1098.223 |       2.9%
Canal           |      2.561 |      2.016 |     75.875 |       49.988 |      62.8%
Demodulateur    |      0.073 |      0.032 |      0.160 |     1746.647 |       1.8%
Decodeur        |      0.065 |      0.032 |      0.192 |      488.673 |       1.6%
Moniteur        |      0.061 |      0.032 |      0.160 |      526.949 |       1.5%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.129 |      1.056 |     85.923 |       28.351 |      27.7%
Encodeur        |      0.067 |      0.032 |      8.864 |     1906.930 |       1.7%
Modulateur      |      0.113 |      0.096 |      0.384 |     1134.853 |       2.8%
Canal           |      2.559 |      1.984 |     72.707 |       50.025 |      62.9%
Demodulateur    |      0.073 |      0.032 |     12.064 |     1743.781 |       1.8%
Decodeur        |      0.066 |      0.032 |     55.266 |      481.331 |       1.6%
Moniteur        |      0.061 |      0.032 |      0.192 |      526.352 |       1.5%
