
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.369 |      1.312 |      3.296 |       23.368 |      27.7%
Encodeur        |      0.082 |      0.064 |      0.160 |     1565.891 |       1.7%
Modulateur      |      0.143 |      0.128 |      0.864 |      893.805 |       2.9%
Canal           |      3.110 |      2.464 |      6.528 |       41.160 |      62.8%
Demodulateur    |      0.097 |      0.064 |      0.704 |     1320.127 |       2.0%
Decodeur        |      0.081 |      0.032 |      0.192 |      396.030 |       1.6%
Moniteur        |      0.070 |      0.032 |      0.096 |      457.014 |       1.4%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.353 |      1.312 |      1.536 |       23.647 |      27.8%
Encodeur        |      0.080 |      0.064 |      0.128 |     1609.562 |       1.6%
Modulateur      |      0.134 |      0.128 |      0.160 |      955.012 |       2.7%
Canal           |      3.071 |      2.464 |      5.089 |       41.686 |      63.0%
Demodulateur    |      0.089 |      0.064 |      0.128 |     1432.624 |       1.8%
Decodeur        |      0.077 |      0.032 |      0.096 |      417.355 |       1.6%
Moniteur        |      0.071 |      0.032 |      0.096 |      452.915 |       1.4%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.350 |      1.312 |      1.408 |       23.703 |      27.7%
Encodeur        |      0.080 |      0.032 |      0.128 |     1603.175 |       1.6%
Modulateur      |      0.137 |      0.128 |      0.160 |      937.355 |       2.8%
Canal           |      3.074 |      2.464 |      5.120 |       41.635 |      63.1%
Demodulateur    |      0.087 |      0.064 |      0.128 |     1474.284 |       1.8%
Decodeur        |      0.078 |      0.032 |      0.128 |      412.245 |       1.6%
Moniteur        |      0.069 |      0.032 |      0.096 |      461.187 |       1.4%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.276 |      1.216 |      1.376 |       25.081 |      25.8%
Encodeur        |      0.076 |      0.032 |      0.096 |     1678.431 |       1.5%
Modulateur      |      0.127 |      0.096 |      0.160 |     1004.695 |       2.6%
Canal           |      3.244 |      2.304 |     39.234 |       39.460 |      65.6%
Demodulateur    |      0.083 |      0.064 |      0.128 |     1545.126 |       1.7%
Decodeur        |      0.073 |      0.032 |      0.096 |      436.735 |       1.5%
Moniteur        |      0.066 |      0.032 |      0.128 |      484.163 |       1.3%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.265 |      1.216 |      1.440 |       25.297 |      27.7%
Encodeur        |      0.074 |      0.032 |      0.096 |     1741.007 |       1.6%
Modulateur      |      0.126 |      0.096 |      0.160 |     1014.675 |       2.8%
Canal           |      2.868 |      2.304 |      4.800 |       44.627 |      62.9%
Demodulateur    |      0.082 |      0.064 |      0.128 |     1566.343 |       1.8%
Decodeur        |      0.077 |      0.032 |      0.097 |      417.196 |       1.7%
