
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
Modulateur      |      0.093 |      0.064 |      0.128 |     1035.971 |       1.9%
Canal           |      2.026 |      1.568 |      4.257 |       47.393 |      40.9%
Demodulateur    |      0.115 |      0.032 |     11.072 |      831.849 |       2.3%
Decodeur        |      0.066 |      0.032 |      0.096 |      481.625 |       1.3%
Moniteur        |      0.068 |      0.032 |      0.096 |      468.045 |       1.4%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.361 |      1.280 |      1.472 |       23.507 |      34.3%
Encodeur        |      0.073 |      0.032 |      0.096 |     1323.980 |       1.8%
Modulateur      |      0.104 |      0.064 |      0.129 |      923.436 |       2.6%
Canal           |      2.215 |      1.760 |      4.320 |       43.340 |      55.8%
Demodulateur    |      0.076 |      0.032 |      0.128 |     1260.665 |       1.9%
Decodeur        |      0.072 |      0.032 |      0.128 |      446.644 |       1.8%
Moniteur        |      0.070 |      0.032 |      0.128 |      456.866 |       1.8%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.299 |      1.216 |     16.289 |       24.630 |      32.4%
Encodeur        |      0.079 |      0.032 |     13.152 |     1207.644 |       2.0%
Modulateur      |      0.098 |      0.064 |      0.129 |      984.559 |       2.4%
Canal           |      2.089 |      1.632 |      4.289 |       45.965 |      52.0%
Demodulateur    |      0.316 |      0.032 |    307.500 |      303.407 |       7.9%
Decodeur        |      0.067 |      0.032 |      0.128 |      474.213 |       1.7%
Moniteur        |      0.065 |      0.032 |      0.097 |      489.297 |       1.6%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.294 |      1.152 |    291.500 |       24.728 |      35.6%
Encodeur        |      0.066 |      0.032 |      0.097 |     1453.918 |       1.8%
Modulateur      |      0.091 |      0.064 |      0.129 |     1050.056 |       2.5%
Canal           |      1.987 |      1.536 |     28.610 |       48.311 |      54.7%
Demodulateur    |      0.069 |      0.032 |      0.192 |     1392.453 |       1.9%
Decodeur        |      0.065 |      0.032 |      0.096 |      493.583 |       1.8%
Moniteur        |      0.061 |      0.032 |      0.097 |      523.264 |       1.7%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.208 |      1.120 |      7.361 |       26.486 |      34.3%
Encodeur        |      0.066 |      0.032 |      0.097 |     1464.644 |       1.9%
Modulateur      |      0.092 |      0.064 |      6.784 |     1048.802 |       2.6%
Canal           |      1.963 |      1.536 |     11.169 |       48.897 |      55.7%
Demodulateur    |      0.070 |      0.032 |     18.144 |     1363.456 |       2.0%
Decodeur        |      0.064 |      0.032 |      0.097 |      500.676 |       1.8%
Moniteur        |      0.061 |      0.032 |      3.872 |      526.171 |       1.7%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.208 |      1.120 |     10.400 |       26.493 |      34.3%
Encodeur        |      0.066 |      0.032 |      4.192 |     1458.053 |       1.9%
Modulateur      |      0.091 |      0.064 |      5.056 |     1054.708 |       2.6%
Canal           |      1.964 |      1.536 |     31.553 |       48.888 |      55.8%
Demodulateur    |      0.068 |      0.032 |      3.968 |     1404.464 |       1.9%
Decodeur        |      0.064 |      0.032 |      4.257 |      498.010 |       1.8%
Moniteur        |      0.061 |      0.032 |      0.097 |      525.702 |       1.7%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.207 |      1.120 |     11.040 |       26.505 |      34.3%
Encodeur        |      0.066 |      0.032 |      6.016 |     1457.147 |       1.9%
Modulateur      |      0.091 |      0.064 |      6.432 |     1054.652 |       2.6%
Canal           |      1.965 |      1.536 |     30.049 |       48.854 |      55.8%
Demodulateur    |      0.069 |      0.032 |      6.912 |     1397.992 |       1.9%
Decodeur        |      0.064 |      0.032 |      5.696 |      498.987 |       1.8%
Moniteur        |      0.061 |      0.032 |      7.168 |      526.370 |       1.7%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.208 |      1.088 |     69.699 |       26.482 |      34.3%
Encodeur        |      0.066 |      0.032 |      8.833 |     1456.144 |       1.9%
Modulateur      |      0.091 |      0.064 |     12.033 |     1054.752 |       2.6%
Canal           |      1.963 |      1.536 |   1159.246 |       48.903 |      55.7%
Demodulateur    |      0.069 |      0.032 |     15.201 |     1401.301 |       1.9%
Decodeur        |      0.064 |      0.032 |     15.264 |      498.991 |       1.8%
Moniteur        |      0.061 |      0.032 |     12.513 |      526.275 |       1.7%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.201 |      1.088 |    121.827 |       26.642 |      41.6%
Encodeur        |      0.064 |      0.032 |     27.715 |     1002.063 |       2.2%
Modulateur      |      0.073 |      0.032 |     88.034 |      872.357 |       2.5%
Canal           |      1.360 |      1.024 |    424.937 |       47.059 |      47.1%
Demodulateur    |      0.066 |      0.032 |    253.829 |      971.654 |       2.3%
Decodeur        |      0.063 |      0.032 |     42.657 |      504.571 |       2.2%
Moniteur        |      0.061 |      0.032 |     33.984 |      525.563 |       2.1%

