
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.382 |      1.280 |      3.552 |       23.149 |      34.4%
Encodeur        |      0.075 |      0.032 |      0.160 |     1285.714 |       1.9%
Modulateur      |      0.110 |      0.064 |      0.768 |      874.286 |       2.7%
Canal           |      2.226 |      1.760 |      5.889 |       43.127 |      55.5%
Demodulateur    |      0.080 |      0.032 |      0.672 |     1195.167 |       2.0%
Decodeur        |      0.072 |      0.032 |      0.192 |      447.368 |       1.8%
Moniteur        |      0.068 |      0.032 |      0.096 |      467.890 |       1.7%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.367 |      1.280 |      1.504 |       23.407 |      34.3%
Encodeur        |      0.072 |      0.032 |      0.096 |     1340.750 |       1.8%
Modulateur      |      0.099 |      0.064 |      0.128 |      967.213 |       2.5%
Canal           |      2.224 |      1.760 |      4.800 |       43.174 |      55.8%
Demodulateur    |      0.078 |      0.032 |      0.224 |     1224.913 |       2.0%
Decodeur        |      0.074 |      0.032 |      0.192 |      432.234 |       1.9%
Moniteur        |      0.071 |      0.032 |      0.128 |      450.274 |       1.8%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.320 |      1.152 |      1.409 |       24.236 |      22.5%
Encodeur        |      0.069 |      0.032 |      0.097 |     1383.651 |       1.2%
Modulateur      |      0.100 |      0.064 |      0.128 |      963.235 |       1.7%
Canal           |      4.175 |      1.568 |    266.763 |       22.995 |      71.0%
Demodulateur    |      0.074 |      0.032 |      0.128 |     1296.896 |       1.3%
Decodeur        |      0.070 |      0.032 |      0.128 |      458.042 |       1.2%
Moniteur        |      0.070 |      0.032 |      0.128 |      457.992 |       1.2%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.292 |      1.152 |     15.296 |       24.760 |      35.8%
Encodeur        |      0.067 |      0.032 |      0.096 |     1436.975 |       1.9%
Modulateur      |      0.092 |      0.064 |      0.128 |     1038.462 |       2.6%
Canal           |      1.961 |      1.536 |      3.777 |       48.967 |      54.3%
Demodulateur    |      0.068 |      0.032 |      0.096 |     1417.127 |       1.9%
Decodeur        |      0.063 |      0.032 |      0.096 |      510.448 |       1.7%
Moniteur        |      0.068 |      0.032 |      0.096 |      467.213 |       1.9%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      2.512 |      1.152 |    317.485 |       12.737 |      50.8%
Encodeur        |      0.069 |      0.032 |      0.096 |     1383.253 |       1.4%
