Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,535,100,101,1.655322e-01,9.900990e-01,0.000593,0.000005871,5.450
1.0,-5.0,1.260419,444,100,104,1.334135e-01,9.615384e-01,0.000598,0.000005750,5.565
2.0,-4.0,1.123350,334,100,103,1.013350e-01,9.708738e-01,0.000593,0.000005757,5.558
3.0,-3.0,1.001187,259,100,108,7.494213e-02,9.259259e-01,0.000604,0.000005593,5.722
4.0,-2.0,0.892308,211,100,119,5.540966e-02,8.403361e-01,0.000643,0.000005403,5.922
5.0,-1.0,0.795271,186,100,152,3.824013e-02,6.578947e-01,0.000821,0.000005401,5.924
6.0,-0.0,0.708786,132,100,221,1.866516e-02,4.524887e-01,0.001192,0.000005394,5.933
7.0,1.0,0.631706,115,100,407,8.829853e-03,2.457002e-01,0.002104,0.000005170,6.190
8.0,2.0,0.563009,108,100,726,4.648760e-03,1.377410e-01,0.003603,0.000004963,6.448
9.0,3.0,0.501782,102,100,1679,1.898451e-03,5.955926e-02,0.007971,0.000004747,6.740
10.0,4.0,0.447214,101,100,5363,5.885232e-04,1.864628e-02,0.025482,0.000004751,6.735
11.0,5.0,0.398580,100,100,29972,1.042640e-04,3.336447e-03,0.142368,0.000004750,6.737
12.0,6.0,0.355234,100,100,157714,1.981435e-05,6.340591e-04,0.750246,0.000004757,6.727
13.0,7.0,0.316603,100,100,1746747,1.789040e-06,5.724928e-05,8.288747,0.000004745,6.744
14.0,8.0,0.282173,100,100,23086059,1.353631e-07,4.331618e-06,109.571931,0.000004746,6.742
